"In respect of BUHERA WEST Constituency, the results are as follows:",Dzuma Soul,M,ZANU (PF),11901
"In respect of BUHERA WEST Constituency, the results are as follows:",,,People's,
"In respect of BUHERA WEST Constituency, the results are as follows:",,,,
"In respect of BUHERA WEST Constituency, the results are as follows:",Mashangana Owen,M,Rainbow,209
"In respect of BUHERA WEST Constituency, the results are as follows:",,,Coalition (PRC),
"In respect of BUHERA WEST Constituency, the results are as follows:",,,,
"In respect of BUHERA WEST Constituency, the results are as follows:",Matewu Jaison Andrew,M,MDC-Alliance,9227
"In respect of BUHERA WEST Constituency, the results are as follows:",,,,
"In respect of BUHERA WEST Constituency, the results are as follows:",Mupungu Kelvin Teurayi,M,Independent,407
"In respect of BUHERA WEST Constituency, the results are as follows:",,,,
"In respect of BUHERA WEST Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of CHIMANIMANI EAST Constituency, the results are as",,,
,follows:,,,
Constituency,Name of Candidate,Sex,Party,Votes Received
"In respect of CHIMANIMANI EAST Constituency, the results are as",,,,
"In respect of CHIMANIMANI EAST Constituency, the results are as",Chikukwa Macdonald,M,PRC,711
"In respect of CHIMANIMANI EAST Constituency, the results are as",,,,
"In respect of CHIMANIMANI EAST Constituency, the results are as",,,,
"In respect of CHIMANIMANI EAST Constituency, the results are as",Dube Innocent,M,INDEPENDENT,217
"In respect of CHIMANIMANI EAST Constituency, the results are as",,,,
"In respect of CHIMANIMANI EAST Constituency, the results are as",,,,
"In respect of CHIMANIMANI EAST Constituency, the results are as",Gwizah Maibah James,M,CODE,174
"In respect of CHIMANIMANI EAST Constituency, the results are as",,,,
"In respect of CHIMANIMANI EAST Constituency, the results are as",,,,
"In respect of CHIMANIMANI EAST Constituency, the results are as",Mahwendepi Batsirayi,M,INDEPENDENT,228
"In respect of CHIMANIMANI EAST Constituency, the results are as",Enock,,,
"In respect of CHIMANIMANI EAST Constituency, the results are as",,,,
"In respect of CHIMANIMANI EAST Constituency, the results are as",,,,
"In respect of CHIMANIMANI EAST Constituency, the results are as",Mudhluli Maxwell,M,MDC –ALLIANCE,3034
"In respect of CHIMANIMANI EAST Constituency, the results are as",,,,
"In respect of CHIMANIMANI EAST Constituency, the results are as",Mukwayo Prudence,F,NCA,81
"In respect of CHIMANIMANI EAST Constituency, the results are as",,,,
"In respect of CHIMANIMANI EAST Constituency, the results are as",,,,
"In respect of CHIMANIMANI EAST Constituency, the results are as",Muusha Patrick,M,FZC,75
"In respect of CHIMANIMANI EAST Constituency, the results are as",,,,
"In respect of CHIMANIMANI EAST Constituency, the results are as",,,,
"In respect of CHIMANIMANI EAST Constituency, the results are as",Sacco Joshua Kurt,M,ZANU PF,16492
"In respect of CHIMANIMANI EAST Constituency, the results are as",RESULTS OF POLL,,,
,"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,Received
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",,,,
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",Bata Nomatter,F,CODE,166
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",,,,
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",,,,
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",Chauke Alexander,M,ZDU,191
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",,,,
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",,,,
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",Jinga Tinashe,M,MDC-T,0
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",,,,
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",,,,
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",Kashiri John Wesley,M,PRC,113
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",,,,
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",,,,
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",Mambakwe Panganai,M,# 1980 CHINHU,66
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",,,CHEDU,
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",,,,
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",Matiashe Canaan,M,MDC-Alliance,9199
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",,,,
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",,,,
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",Matsikenyere,,,10757
"In respect of CHIMANIMANI WEST Constituency, the results are as follows:",Nokuthula,F,ZANU PF,
,,RESULTS OF POLL,,
,,,,
,In respect of,"CHIPINGE CENTRALConstituency, the results are as",,
,follows:,,,
Constituency,Name of Candidate,Sex,Party,Votes Received
"CHIPINGE CENTRALConstituency, the results are as",Dhlumo Livingstone,M,MDC Alliance,7606
"CHIPINGE CENTRALConstituency, the results are as",Dube Robert,M,MDC-T,1037
"CHIPINGE CENTRALConstituency, the results are as",Machingura Raymore,M,ZANU PF,12167
"CHIPINGE CENTRALConstituency, the results are as",Muhlupeko Vhurande,M,NCA,146
"CHIPINGE CENTRALConstituency, the results are as",Maremudze Notion,M,ZIPP,146
"CHIPINGE CENTRALConstituency, the results are as",Mathabuka Shingai,M,PRC,898
,,RESULTS OF POLL,,
,,,,
,In respect of,"CHIPINGE EASTConstituency, the results are as follows:",,
Constituency,Name of Candidate,Sex,Party,Votes Received
"CHIPINGE EASTConstituency, the results are as follows:",Mlambo Win Busayi Juyana,M,Zanu PF,8349
"CHIPINGE EASTConstituency, the results are as follows:",Mlambo Mathias Matewu,M,MDC Alliance,8967
"CHIPINGE EASTConstituency, the results are as follows:",Masunungure Lovemore,M,PRC,765
