Province,District,Local Authority,Constituency,Ward No.,Polling Station Facility,, Dabengwa Dumiso (ZAPU),Mugabe Robert Gabriel (ZANU PF),Mukwazhe Munodei Kisinoti (ZDP),Ncube Welshman (MDC), Tsvangirayi Morgan (MDC-T), Total Votes Rejected, Ballot Papers Unaccounted for,  Total Votes Cast, Total Valid Votes Cast
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Rushinga RDC,Mount Darwin East,11,Chongoma Primary Primary School,,2,539,3,4,35,1,0,584,583
Mash Central,Mt Darwin,Rushinga RDC,Mount Darwin East,11,Gwashure Primary Primary School,,1,333,0,0,7,3,0,344,341
Mash Central,Mt Darwin,Rushinga RDC,Mount Darwin East,11,Mutematsaka Pre SchoolTent,,0,219,1,0,2,1,0,223,222
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Mount Darwin East,8,Ganganyama Primary Primary School,,2,182,1,1,7,1,0,194,193
Mash Central,Rushinga,Rushinga RDC,Mount Darwin East,8,Jiwa Primary Primary School,,2,307,0,0,7,3,0,319,316
Mash Central,Rushinga,Rushinga RDC,Mount Darwin East,8,Katakura Primary Primary School,,2,705,1,8,24,4,0,744,740
Mash Central,Rushinga,Rushinga RDC,Mount Darwin East,8,Pfara Village Tent,,0,310,0,0,18,2,0,330,328
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Mount Darwin East,9,Machiti Primary Primary School,,1,134,0,0,7,2,0,144,142
Mash Central,Rushinga,Rushinga RDC,Mount Darwin East,9,Runwa Primary Primary School,,2,614,0,3,34,16,0,669,653
Mash Central,Rushinga,Rushinga RDC,Mount Darwin East,9,Rutuka Primary Primary School,,1,318,1,0,17,19,0,356,337
,,,,,,,,,,,,,,,
Mash Central,Rushinga,Rushinga RDC,Mount Darwin East,10,Bungwe Community CentTrent,,5,257,0,3,24,5,0,294,289
Mash Central,Rushinga,Rushinga RDC,Mount Darwin East,10,Bungwe Primary Primary School,,1,437,1,2,27,12,0,480,468
Mash Central,Rushinga,Rushinga RDC,Mount Darwin East,10,Maname Primary Primary School,,0,254,1,3,30,11,0,299,288
Mash Central,Rushinga,Rushinga RDC,Mount Darwin East,10,Manyodzo D.D.F Tent,,3,202,3,4,18,2,0,232,230
Mash Central,Rushinga,Rushinga RDC,Mount Darwin East,10,Nyamarodza Primary Primary School,,2,414,1,6,22,9,0,454,445
Mash Central,Rushinga,Rushinga RDC,Mount Darwin East,10,Wara Village Tent,,1,132,1,0,3,2,0,139,137
,,,,,,,,,,,,,,,
Mash Central,,,,,Mt Darwin East Constituency Totals,,136,20967,39,135,1177,328,1,22782,22454
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,1,Kachuwaire Village Tent,,2,413,0,0,4,10,0,429,419
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,1,Kaitano Primary Primary School,,1,433,1,1,27,24,0,487,463
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,1,Kaitano Secondary Secondary  School,,2,234,0,3,28,4,0,271,267
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,2,Chisecha Primary Primary School,,0,1305,0,0,17,8,0,1330,1322
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,2,Chiutsi BC Tent,,3,357,1,2,31,3,0,397,394
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,2,Kapfudza BC Tent,,1,324,0,1,4,9,0,339,330
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,2,Katarira Primary Primary School,,1,541,2,3,50,15,0,612,597
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,2,Katarira Secondary Secondary School,,2,350,0,4,20,10,0,386,376
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,2,Mukumbura Primary Primary School,,4,556,2,4,51,8,0,625,617
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,2,Mukumbura Secondary Secondary School,,1,599,2,3,41,5,0,651,646
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,3,Gomo Primary Primary School,,4,709,2,12,94,84,0,905,821
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,3,Kapfudza Primary Primary School,,1,349,3,4,83,12,0,452,440
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,4,Kapiripiri Primary Primary School,,4,913,2,13,51,20,0,1003,983
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,4,Mazvidza Pre School Pre School,,0,289,0,0,13,7,0,309,302
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,4,Nohumba Pre School Pre School,,2,472,0,4,13,13,0,504,491
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,5,Chiswiti Primary Primary School,,4,556,0,0,14,13,0,587,574
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,5,Tsenga Pre School Pre School,,1,643,0,1,9,5,0,659,654
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,6,Chahumana Primary Primary School,,0,111,0,0,0,1,0,112,111
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,6,Kapanda Primary Primary School,,3,692,0,2,6,12,0,715,703
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,6,Mutasa Primary Primary School,,2,656,0,2,6,9,0,675,666
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,31,Chimbuwe Primary Primary School,,8,1041,3,8,35,16,0,1111,1095
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,31,Marongwe Primary Primary School,,1,390,0,1,5,6,0,403,397
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,31,Mutasa 3 Pre School Pre School,,1,571,0,0,4,6,0,582,576
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,32,Chatadza Village A Tent,,3,468,0,5,18,7,0,501,494
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,32,Mukoma Primary Primary School,,1,607,1,4,19,9,0,641,632
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,33,Bandimba Primary Primary School,,0,685,3,4,17,13,0,722,709
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,33,Chigango Primary Primary School,,7,939,3,8,33,32,0,1022,990
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,33,Gungwa Primary Primary School,,1,407,0,0,10,9,0,427,418
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,33,Zambezi Primary Primary School,,1,186,0,1,13,3,0,204,201
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,34,Kamutsenzere DDF DDF Camp,,6,572,0,3,34,13,0,628,615
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,34,Kamutsenzere Primary Primary School,,1,437,5,5,22,8,0,478,470
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,34,Mavhuradonha High High School,,1,266,0,3,16,6,0,292,286
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin North,34,Zambara Primary Primary School,,2,596,0,9,48,7,0,662,655
,,,,,,,,,,,,,,,
Mash Central,,,,,Mt Darwin North Constituency Totals,,71,17667,30,110,836,407,0,19121,18714
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,13,Kujawara Primary Primary School,,2,131,0,5,63,3,0,204,201
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,13,Nhoro Primary Primary School,,0,269,0,4,64,7,0,344,337
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,22,Amanda Village Hall Hall,,6,518,1,0,3,4,0,532,528
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,22,Bemberi Primary Primary School,,1,410,1,0,3,0,0,415,415
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,22,Chibondo BC Tent,,0,870,0,0,5,8,0,883,875
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,22,Chipa BC Tent,,0,632,0,0,7,8,0,647,639
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,22,Lismore Village Tent,,0,205,0,0,2,3,0,210,207
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,22,Tangenhamo Secondary Secondary  School,,2,625,0,1,9,4,0,641,637
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,22,Tsakare Community Hall Community Hall,,3,918,0,0,10,6,0,937,931
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,23,Kabade Village Tent,,1,554,0,3,53,10,0,621,611
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,23,Kandeya Primary Primary School,,2,711,2,5,40,23,0,783,760
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,23,Mahuje Village Tent,,1,238,1,3,21,7,0,271,264
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,23,Ruya Primary Primary School,,2,432,0,7,102,5,0,548,543
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,24,Chatumbama Primary Primary School,,2,663,3,2,28,4,0,702,698
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,24,Chisora Village Tent,,1,397,0,3,28,5,0,434,429
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,24,Chiunye Primary Primary School,,0,732,3,6,67,14,0,822,808
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,24,Matope Primary Primary School,,3,356,0,1,13,1,0,374,373
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,24,Mazonde Village Tent,,2,605,1,5,22,23,0,658,635
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,24,Mutondwe Secondary Secondary  School,,2,550,0,0,39,6,0,597,591
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,25,Nyajenje BC Tent,,0,121,0,6,35,1,0,163,162
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,25,Nyakasikana Secondary Secondary  School,,1,299,0,12,94,8,0,414,406
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,26,I & K\Agribank Open SpacTeent,,1,538,0,7,180,24,0,750,726
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,26,Kandeya B.C. Tent,,2,719,2,10,75,15,0,823,808
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,26,Mt Darwin Hospital Clinic,,1,350,2,2,180,14,0,549,535
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,26,Mt Darwin Pfura Pre SchoPoflura Hall,,0,696,0,8,164,16,0,884,868
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,27,Chindunduma High High  School,,1,504,0,2,24,9,0,540,531
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,27,Chiwenga Primary Primary School,,0,56,0,4,16,0,0,76,76
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,27,Gwetera Pre School Pre  School,,0,465,0,0,14,5,0,484,479
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,27,Mutasa-Magunje Open spTaecnet,,1,249,0,0,37,1,0,288,287
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,27,Nyajenje Primary Primary School,,0,192,0,3,88,3,0,286,283
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,28,Manyuchi Primary Primary School,,1,111,0,4,15,0,0,131,131
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,28,Mutaku Primary Primary School,,2,279,0,3,53,4,0,341,337
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,29,Kangaire Primary Primary School,,0,100,0,0,57,2,0,159,157
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,29,Nyamahobogo Primary Primary School,,0,99,0,5,67,2,0,173,171
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,29,Nyamhara Primary Primary School,,1,159,0,1,37,2,0,200,198
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,30,Kongiri Dam Open space Tent,,1,170,0,2,45,2,0,220,218
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,30,Nyamahobogo B.C. OpenT sepnatce,,0,105,0,4,67,3,0,179,176
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,39,Ravine Village Tent,,1,824,0,1,9,4,0,839,835
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,39,Tsakare Primary Primary School  “’A”’,,0,1113,0,0,12,7,0,1132,1125
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,40,Chaminuka Training CentrTeraining Centre,,2,764,2,0,9,7,0,784,777
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,40,Chomagora Primary Primary School,,0,1032,0,1,12,19,0,1064,1045
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin South,40,Manhondo BC Tent,,1,545,0,1,19,13,0,579,566
,,,,,,,,,,,,,,,
Mash Central,,,,,Mt Darwin South Constituency Totals,,46,19306,18,121,1888,302,0,21681,21379
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,7,Chikwira Primary Primary School,,4,423,2,9,71,3,0,512,509
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,7,Maripfonde Village Tent,,2,328,3,2,19,4,0,358,354
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,7,Nembire Primary Primary School,,18,777,0,18,94,36,0,943,907
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,8,Chakoma Primary Primary School,,6,594,2,9,58,14,0,683,669
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,8,Mauswa BC Tent,,2,497,1,3,19,13,0,535,522
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,8,Nharira Primary Primary School,,0,470,0,1,30,11,0,512,501
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,8,Nowedza Village Tent,,6,510,3,5,34,6,0,564,558
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,8,Ruwani Primary Primary School,,11,567,1,0,25,7,0,611,604
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,9,Dotito Primary Primary School,,1,506,1,5,89,8,0,610,602
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,9,Dotito Secondary Secondary  School,,1,353,0,2,38,1,0,395,394
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,16,Chiromo Primary Primary School,,3,734,1,1,72,10,0,821,811
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,16,Kapatamoyo Primary Primary School,,4,685,2,4,49,9,0,753,744
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,16,Sosera Primary Primary School,,4,616,1,4,68,21,0,714,693
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,17,Chiutsa Primary Primary School,,3,792,0,6,66,2,0,869,867
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,17,Kazai Primary Primary School,,2,411,2,0,9,3,0,427,424
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,17,Mudzengerere SecondarySecondary  School,,4,946,0,4,35,2,0,991,989
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,18,Chakanetsa Primary Primary School,,3,586,1,0,6,2,0,598,596
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,18,Mutungagore Primary Primary School,,7,693,0,0,9,4,0,713,709
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,18,Mutungagore Secondary Secondary  School,,3,799,1,0,12,3,0,818,815
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,18,Nyamasvau Primary Primary School,,2,515,0,0,8,9,0,534,525
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,18,Nyamhara Village Tent,,8,394,0,0,10,2,0,414,412
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,19,Binga Primary Primary School,,1,434,0,0,2,4,0,441,437
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,19,Chibuli Primary Primary School,,1,653,0,0,4,5,0,663,658
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,19,Chitepo A Village Tent,,0,257,0,0,2,3,0,262,259
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,19,Dolphine Park Primary Primary School,,1,630,0,1,9,5,0,646,641
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,19,Glassalla Farm Tent,,1,247,1,0,2,3,0,254,251
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,19,Mutwa Estate Village Tent,,5,482,0,0,0,1,0,488,487
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,19,Neuveld/ Mudzinge Hall Hall,,3,406,1,0,2,26,0,438,412
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,19,Nyamaridza Village Tent,,0,241,0,0,0,2,0,243,241
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,19,Panorama TC Training Centre,,0,279,0,0,3,2,0,284,282
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,19,Tongogara C Village Tent,,1,269,0,0,4,0,0,274,274
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,20,Gandwenherera  Village Tent,,1,345,0,0,10,5,0,361,356
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,20,Kuedza Village Tent,,1,631,0,0,6,5,0,643,638
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,20,Mutwa Primary Primary School,,0,505,0,0,2,5,0,512,507
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,20,Mutwa Secondary Secondary School,,1,279,0,0,1,4,0,285,281
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,20,Tsamvi Primary Primary School,,0,450,1,1,5,11,0,468,457
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,21,Karuyana BC Tent,,0,147,0,1,26,1,0,175,174
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,21,Karuyana Primary Primary School,,0,177,0,1,5,0,0,183,183
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,35,Chizura Primary Primary School,,3,461,1,5,34,1,0,505,504
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,35,Fort  Misery  BC Tent,,1,243,0,2,18,3,0,267,264
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,35,Kuhondo Primary Primary School,,0,459,0,4,39,11,0,513,502
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,36,Burira Village Tent,,4,335,1,1,14,7,0,362,355
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,36,Chihoko Primary Primary School,,0,798,0,5,43,14,0,860,846
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,36,Kadohwata Primary Primary School,,1,588,1,8,45,13,0,656,643
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,36,Karaga Village Tent,,1,557,0,2,9,9,0,578,569
Mash Central,Mt Darwin,Pfura RDC,Mt Darwin West,36,Madzivanzira Village Tent,,1,466,0,9,47,12,0,535,523
,,,,,,,,,,,,,,,
Mash Central,,,,,Mt Darwin West Constituency Totals,,121,22535,27,113,1153,322,0,24271,23949
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,1,Chadereka Primary Primary School,,2,405,0,2,15,6,0,430,424
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,1,Chadereka Secondary Secondary School,,1,305,0,1,15,6,0,328,322
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,1,Chimoio Primary Primary School,,3,341,0,5,24,4,0,377,373
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,1,Gunduza Primary Primary School,,0,348,1,1,11,4,0,365,361
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,1,Kanyaya Village Tent,,2,145,0,3,4,9,0,163,154
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,1,Musingwa Primary Primary School,,1,305,0,0,16,7,0,329,322
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,1,Sone Primary Primary School,,0,133,0,0,8,3,0,144,141
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,2,Chiridza Primary Primary School,,1,639,1,2,12,2,0,657,655
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,2,Gumbochuma Primary Primary  School,,0,300,0,1,19,3,0,323,320
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,2,Guni Village Tent,,1,417,0,0,2,0,0,420,420
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,2,Musengezi Turn off BC Tent,,1,359,0,2,18,5,0,385,380
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,3,Chibaya BC Tent,,2,195,1,1,12,2,0,213,211
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,3,Chirimbwa Village Tent,,1,242,1,3,21,1,0,269,268
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,3,Machaya Secondary Sec. School,,1,286,0,0,24,4,0,315,311
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,3,Nyadukutu Primary Primary School,,0,350,0,2,15,0,0,367,367
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,4,Batanai Primary Primary School,,2,403,2,5,50,4,0,466,462
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,4,Dambakurima Primary Primary School,,0,563,0,4,22,1,0,590,589
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,4,Mukombwe B.C. Tent,,2,448,2,7,52,7,0,518,511
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,5,Kapembere Primary Primary School,,3,341,0,1,35,6,0,386,380
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,5,Kapembere Secondary Secondary  School,,2,172,0,3,22,4,0,203,199
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,5,Mufudzi Primary Primary School,,1,327,0,1,25,6,0,360,354
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,5,Mutunda BC Tent,,4,304,1,2,36,5,0,352,347
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,6,Gutsa-Kahungwe PrimaryPrimary School,,1,324,0,5,32,9,0,371,362
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,6,Hwata Primary Primary School,,1,395,1,3,18,6,0,424,418
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,7,Hwata-Kapatamukombe Primary School,,1,261,1,9,36,7,0,315,308
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,7,Muganhi Village Tent,,0,108,0,0,0,2,0,110,108
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,7,Nyahwanga Secondary Secondary  School,,0,69,0,0,6,2,0,77,75
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,8,Muringazuva Primary Primary School,,0,292,1,1,11,3,0,308,305
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,8,Muringazuva Village Tent,,0,231,0,0,10,2,0,243,241
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,8,Mushinye Village Tent,,1,341,0,0,4,2,0,348,346
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,8,Muzarabani Community HCaolml munity Hall,,6,1173,0,6,114,16,0,1315,1299
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,19,Bore Primary Primary School,,1,427,0,3,11,3,0,445,442
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,19,Tandare Village Tent,,0,124,0,1,2,2,0,129,127
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,19,Utete Primary Primary School,,4,630,3,7,20,12,0,676,664
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,23,Huni Village Tent,,1,421,2,1,23,8,0,456,448
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,23,Kaerezi Primary Primary School,,6,659,3,1,19,6,0,694,688
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,23,Kakonono primary Primary School,,3,442,0,1,19,3,3,468,465
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,24,Chibombo Primary Primary School,,1,450,0,0,17,4,0,472,468
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,24,Chiwenga Primary Primary School,,3,624,1,2,13,5,0,648,643
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,24,Keche Primary Primary School,,3,575,2,2,23,3,0,608,605
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,24,Machakwa Village Tent,,1,269,0,1,7,0,0,278,278
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,27,Machaya Primary Primary School,,3,467,0,6,47,6,0,529,523
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani North,27,Museredza Primary Primary School,,0,679,0,0,13,5,0,697,692
,,,,,,,,,,,,,,,
Mash Central,,,,,Muzarabani North Constituency Totals,,66,16289,23,95,903,195,3,17571,17376
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,9,Chiwashira Primary Primary School,,4,547,0,3,11,6,0,571,565
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,9,Mhene  Primary Primary School,,5,361,2,0,21,11,0,400,389
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,10,Chiweshe Primary Primary School,,5,391,1,5,27,16,0,445,429
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,10,St Alberts Primary Primary School,,9,780,3,10,115,21,0,938,917
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,10,Uchachacha DDF Tent,,2,497,0,1,13,7,0,520,513
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,11,Chiripiro Primary Primary School,,1,265,0,0,2,2,0,270,268
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,11,Munhenga Primary Primary School,,2,682,1,2,27,14,0,728,714
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,11,Sable Heights Primary Primary School,,0,159,0,0,7,2,0,168,166
,,,,,,,,,,,,,,,
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,12,Chikale  Farm Primary Primary School,,0,463,1,0,4,3,0,471,468
Mash Central,Muzarabani,Muzarabani RDC,Muzarabani South,12,Hilbre Primary Primary School,,3,262,0,1,1,1,0,268,267
