Province,District,Local Authority,Constituency,Ward No.,Polling Station Facility,, Dabengwa Dumiso (ZAPU),Mugabe Robert Gabriel (ZANU PF),Mukwazhe Munodei Kisinoti (ZDP),Ncube Welshman (MDC), Tsvangirayi Morgan (MDC-T), Total Votes Rejected, Ballot Papers Unaccounted for,  Total Votes Cast, Total Valid Votes Cast
,,,,,,,,,,,,,,,
Mash Central,Mbire,Mbire RDC,Mbire,11,Chaukura Village Tent,,6,237,0,0,5,5,0,253,248
Mash Central,Mbire,Mbire RDC,Mbire,11,Masoka Primary Primary School,,5,367,2,1,8,8,0,391,383
,,,,,,,,,,,,,,,
Mash Central,Mbire,Mbire RDC,Mbire,12,Bwazi Village Tent,,4,280,1,3,33,10,0,331,321
Mash Central,Mbire,Mbire RDC,Mbire,12,Chikafa Primary Primary School,,3,467,1,4,62,13,0,550,537
Mash Central,Mbire,Mbire RDC,Mbire,12,Chimukoko /Jurujena A VTilleangte,,14,294,2,19,196,27,0,552,525
Mash Central,Mbire,Mbire RDC,Mbire,12,Nyambudzi Primary Primary School,,12,482,4,10,95,66,0,669,603
,,,,,,,,,,,,,,,
Mash Central,Mbire,Mbire RDC,Mbire,13,Kasemberere Primary Primary School,,4,441,0,4,18,9,0,476,467
Mash Central,Mbire,Mbire RDC,Mbire,13,Sapa Primary Primary School,,2,492,2,6,94,43,0,639,596
,,,,,,,,,,,,,,,
Mash Central,Mbire,Mbire RDC,Mbire,15,Bhande Village Tent,,12,514,3,11,83,10,0,633,623
Mash Central,Mbire,Mbire RDC,Mbire,15,Chombe Village Tent,,0,125,0,4,47,4,0,180,176
Mash Central,Mbire,Mbire RDC,Mbire,15,Mahuhwe Primary Primary School,,12,694,2,17,209,12,0,946,934
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash Central,Mbire,Mbire RDC,Mbire,16,Gunja Village Tent,,2,411,2,1,11,3,0,430,427
Mash Central,Mbire,Mbire RDC,Mbire,16,Monozi Primary Primary School,,13,692,0,12,72,30,0,819,789
,,,,,,,,,,,,,,,
Mash Central,Mbire,Mbire RDC,Mbire,17,Majongwe Primary Primary School,,11,593,2,21,137,21,0,785,764
Mash Central,Mbire,Mbire RDC,Mbire,17,Murere Village Tent,,5,254,3,9,121,26,0,418,392
,,,,,,,,,,,,,,,
Mash Central,,,,,Mbire Constituency Totals,,264,18981,69,390,3070,737,0,23511,22774
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,10,Chimanja Primary Primary School,,3,369,0,6,57,9,0,444,435
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,10,Chitumbuko Primary Primary School,,0,584,0,2,19,6,0,611,605
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,10,Mangare Primary Primary School,,2,1038,1,3,44,10,0,1098,1088
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,10,Murota Primary Primary School,,4,388,3,4,30,8,0,437,429
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,10,Sohwe Primary Primary School,,7,624,1,5,56,17,0,710,693
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,11,Hondoyedzomba Village Tent,,2,340,0,2,16,3,0,363,360
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,11,Kajokoto Primary Primary School,,11,859,4,3,25,3,0,905,902
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,11,Kanyoka Primary Primary School,,2,438,0,3,20,3,0,466,463
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,11,Pachanza Primary Primary School,,6,576,4,7,46,18,0,657,639
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,12,Chitsato Primary Primary School,,7,662,2,4,26,5,0,706,701
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,12,Nyamazizi Primary Primary School,,5,579,0,8,53,10,0,655,645
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,12,Tsengurwe Primary Primary School,,9,898,2,5,43,3,0,960,957
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,14,Chimumvuri Primary Primary School,,5,1106,1,10,106,49,0,1277,1228
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,14,Chironga Primary Primary School,,11,1006,0,4,47,10,0,1078,1068
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,14,Karanda Community HallTent,,4,848,2,3,82,10,0,949,939
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,15,Chawanda Primary Primary School,,4,553,3,7,48,14,0,629,615
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,15,Chibara Primary Primary School,,1,637,0,2,29,5,0,674,669
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,15,Chokuveza BC Tent,,4,674,0,3,34,14,0,729,715
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,15,Kambamura Primary Primary School,,9,868,1,2,14,8,1,902,894
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,37,Chivisi Pre School Tent,,1,217,0,0,10,2,0,230,228
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,37,Chizeza Primary Primary School,,2,448,1,1,2,6,0,460,454
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,37,Pfunyanguwo Secondary Secondary  School,,3,389,0,4,26,9,0,431,422
,,,,,,,,,,,,,,,
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,38,Date Primary Primary School,,4,780,0,5,27,7,0,823,816
Mash Central,Mt Darwin,Pfura RDC,Mount Darwin East,38,Gumbeze Primary Primary School,,5,729,0,8,35,6,0,783,777
