Province,Local Authorithy,District,Constituency,"WardNo.",Polling Station,Facility,"Dabengwa DumisoZAPU","Mugabe RobertGabriel ZANU PF","Mukwashe MunodeiKisinoti ZDP","Ncube WelshmanMDC","Tsvangirayi MorganMDC-T","Total VotesRejected","Ballot PaperUnaccounted for",Total Votes Cast,"TotalValidVotesCast"
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,18,Bethel,Primary School,3,609,0,4,64,25,0,705,680
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,18,Boterekwa,Primary School - Tent,0,221,0,0,8,4,0,233,229
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,18,Circle V BC,Tent,1,152,0,0,24,11,0,188,177
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,18,Dombojena,Primary School,1,247,0,3,34,10,0,295,285
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,18,Falcon Mine Clinic,Tent,0,113,0,46,4,4,0,167,163
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,18,Gwenhoro,Primary School,2,68,0,0,13,2,0,85,83
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,18,Mangwenda Farm,Tent,1,112,0,1,16,1,0,131,130
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,18,Msasa,Primary School,4,611,2,5,44,34,0,700,666
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,18,Pompey II Mine (William),Tent,1,241,0,2,14,6,0,264,258
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,18,Zhaugwe North,Primary School,3,180,1,1,26,1,0,212,211
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,19,Chironde,Primary School,3,489,2,5,111,16,0,626,610
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,19,Gutsaruzhinji Cooperative,Tent,1,220,1,0,14,11,0,247,236
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,19,Mponda Farmhouse,Tent,0,107,1,3,25,6,0,142,136
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,19,Unki Mine,Tent,0,24,0,0,23,0,0,47,47
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,19,Zvishazha,Primary School,2,244,2,2,76,11,0,337,326
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,2,Batanai,Primary School,8,604,1,7,126,10,0,756,746
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,2,Nyagari,Primary School,6,294,0,7,53,9,0,369,360
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,3,Jobolingo,Primary School,0,51,0,1,29,3,0,84,81
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,3,Rockford,Primary School,0,72,0,1,22,2,0,97,95
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,4,Gamwa,Secondary school,1,83,0,1,33,6,0,124,118
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,4,Gamwa,Primary School,0,58,0,3,60,0,0,121,121
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,5,Dhlodhlo,Primary School,1,59,0,8,65,1,0,134,133
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,5,Jongwe,Primary School,0,172,0,6,61,14,0,253,239
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,5,Mufiri,Clinic,4,193,1,5,79,2,0,284,282
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,5,New Gato,Primary School,2,158,0,3,88,6,0,257,251
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,5,Old Gato,Primary School,0,60,0,0,35,1,0,96,95
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,6,China Gansu,Tent,1,134,2,0,14,3,0,154,151
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,6,Zvamatenga,Primary School,0,222,0,0,22,1,0,245,244
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,7,Chikato,Primary School,1,321,0,7,177,16,0,522,506
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,7,Chinho,Primary School,1,233,1,6,92,13,0,346,333
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,7,Kemesi BC,Tent,0,83,1,1,27,2,0,114,112
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,8,Banga,Primary School,1,415,3,9,51,11,0,490,479
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,8,Batanai,Secondary school,1,53,0,0,18,1,0,73,72
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,8,Chekenyu,Primary School,0,60,0,0,24,0,0,84,84
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,8,Makotore,Primary School,1,194,1,17,83,7,0,303,296
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,8,Mukandapi BC,Tent,7,260,0,12,104,13,0,396,383
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,9,Gundura,Primary School,2,202,0,7,98,13,0,322,309
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,9,Jabangwe BC,Tent,0,145,1,6,100,8,0,260,252
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,9,Jack BC,Tent,2,271,3,11,136,6,0,429,423
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,9,Makonde,Primary School,0,161,0,2,76,0,0,239,239
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,9,Rusike,Primary school,3,199,0,11,110,5,0,328,323
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,10,Banda BC,Tent,7,212,6,17,118,10,0,370,360
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,10,Donga DDF,Tent,2,348,0,15,319,3,0,687,684
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,10,Mhangami,Primary School,0,186,2,9,64,10,0,271,261
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,10,Ndaora,Primary School,3,207,4,11,142,10,0,377,367
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,11,Chanaiwa BC,Tent,4,181,1,10,134,11,0,341,330
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,11,Makandire,Primary School,1,69,0,2,64,7,0,143,136
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,11,Matamba,Primary school,2,239,0,3,75,2,0,321,319
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,11,Mavedzenge,Primary School,0,52,2,3,38,3,0,98,95
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,11,Mpangayi,Secondary school,1,146,1,9,148,14,0,319,305
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,11,Wida,Primary School,0,159,0,9,79,6,0,253,247
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,20,Bokai,Secondary school,1,145,1,2,52,3,0,204,201
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,20,Marishongwe,Primary School,4,274,0,3,46,1,0,328,327
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,20,Pakame,Primary School,0,168,0,5,72,2,0,247,245
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,20,Ruchanyu,Primary School,1,246,0,0,29,3,0,279,276
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,21,Dorset,Secondary school,9,443,2,13,147,21,0,635,614
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,21,Kashambi,Primary School,1,205,0,3,15,4,0,228,224
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,21,Rietfontein Homestead,Tent,0,248,0,2,15,5,0,270,265
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,21,Zhaugwe South,Primary School,4,508,1,11,72,10,0,606,596
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,22,Tokwe,Primary School,2,146,2,2,65,0,0,217,217
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,23,Gwanza,Primary School,3,247,0,5,59,7,0,321,314
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,23,Nantes Homestead,Tent,6,170,0,3,53,5,0,237,232
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,24,Masimba Village (near SDA Chur,The)nt,2,110,2,2,87,1,0,204,203
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,24,Mazivisa,Primary School,0,133,0,3,117,4,0,257,253
Midlands,Tongogara RDC,Shurugwi,Shurugwi South,24,Shamba,Primary School,4,315,0,4,173,8,0,504,496
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,3,Lundi,Primary School,1,202,1,1,40,6,0,251,245
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,3,Muzondiwa BC,Community Hall,2,239,0,0,49,3,0,293,290
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,3,Sinami,Primary School,1,302,1,11,126,9,0,450,441
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,5,Dowa/ Mhondongori,Primary School,0,97,0,3,21,0,0,121,121
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,5,Mapirimira,Primary School,3,169,0,2,19,9,0,202,193
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,5,Mimosa,Mine Compound,1,43,0,6,151,1,0,202,201
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,5,Village 1,Tent,0,86,0,4,4,3,0,97,94
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,5,Village 4,Tent,0,65,0,1,16,1,0,83,82
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,5,Village 6,Tent,0,86,0,0,6,3,0,95,92
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,6,Govarizadze,Secondary school,0,132,1,3,67,1,0,204,203
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,6,Mapanzure,Clinic,2,227,0,6,113,2,0,350,348
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,6,Mapazuli,Primary School,0,152,1,13,98,4,0,268,264
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,6,Nyama BC,Tent,4,233,2,9,121,6,0,375,369
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,6,Sivanga,Primary School,0,44,0,1,34,1,0,80,79
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,11,Mabwematema,Community Hall,0,123,1,5,81,9,0,219,210
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,11,Masarasara BC,Tent,2,131,0,2,75,0,0,210,210
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,11,Msipani,Primary School,0,84,1,0,43,1,0,129,128
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,11,Rusvinge,Primary School,0,87,0,2,43,3,0,135,132
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,11,Wedza,Primary School,0,171,2,8,105,4,0,290,286
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,12,Ingome,Primary School,1,116,1,19,116,7,0,260,253
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,12,Ndinaneni,Primary School,2,119,0,14,155,3,0,293,290
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,12,Zvegona,Primary School,1,381,1,10,139,12,0,544,532
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,19,Chamatera/Muchingwe,Primary school,2,377,2,5,57,6,0,449,443
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,19,Cheshire Ranch,Tent,0,138,0,0,36,2,0,176,174
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,19,Dadaya,Primary  School,0,26,0,3,31,1,0,61,60
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,19,Oreti,Primary School,1,250,0,5,29,81,0,366,285
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,19,Rupemba,Primary School,0,170,1,0,10,0,0,181,181
Midlands,Runde RDC,Zvishavane,Zvishavane-Ngezi,19,Vukuzenzele Co-operative,Community Hall,0,52,0,3,33,2,0,90,88
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,1,Mandava,Clinic  - Tent,1,163,0,10,201,4,0,379,375
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,1,Zvizvobgo,Tent,1,235,0,9,153,9,0,407,398
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,2,Chiedza A,Community Hall,0,179,1,3,144,7,0,334,327
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,2,Chiedza B,Community Hall,0,123,0,3,223,0,0,349,349
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,2,Dhanga Open space,Tent,2,231,2,11,153,6,0,405,399
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,3,Gresham A,Primary School,0,159,1,6,255,8,0,429,421
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,3,Gresham B,Primary School,0,181,1,5,165,0,3,352,352
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,4,Highlands,Preschool,1,215,0,2,346,9,0,573,564
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,4,Mandava,Secondary school,1,94,1,6,426,3,0,531,528
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,5,Jefrey Hooper,Primary School,1,146,0,5,175,2,0,329,327
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,5,Kubatana,Community Hall,0,179,2,14,283,9,0,487,478
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,6,DA's Office,Public office,1,246,0,6,211,1,0,465,464
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,6,Zvishavane District Hospital,Clinic,1,152,0,2,312,5,0,472,467
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,7,Makwasha,Preschool  -  Tent,1,300,0,15,508,12,0,836,824
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,7,Makwasha,Primary School,1,128,1,16,468,9,0,623,614
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,8,Nyaradzai A,Community Hall,1,242,1,22,541,16,1,823,807
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,8,Nyaradzai B,Community Hall,1,234,1,18,625,20,0,899,879
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,8,Shabani Mine,Primary School,4,242,2,28,727,9,0,1012,1003
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,9,Advalorem (open space),Tent,1,58,0,4,288,1,0,352,351
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,9,Nil A,Community Hall,1,116,0,4,307,4,0,432,428
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,9,Nil B,Community Hall,0,143,0,12,281,1,0,437,436
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,10,Kandodo A,Community Hall,1,164,1,13,322,10,0,511,501
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,10,Kandodo B,Community Hall,0,155,0,17,323,5,0,500,495
Midlands,Zvishavane Town Cou,Zcivlishavane,Zvishavane-Ngezi,10,Vocational Training Centre,Youth Centre,0,167,2,10,322,14,0,515,501
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,1,Daru BC,Community Hall,0,204,0,9,112,3,0,328,325
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,1,Mahleta BC,Tent,1,81,0,3,13,0,0,98,98
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,1,Mwezhe,Primary School,2,145,0,8,36,4,0,195,191
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,2,Hanawa,Primary School,4,312,1,5,48,4,0,374,370
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,2,Karogwe,Secondary school,2,140,1,5,59,2,0,209,207
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,2,Matenda,Primary School,3,135,1,5,66,2,0,212,210
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,2,Musikati,Secondary school,0,52,0,4,10,1,0,67,66
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,2,Tom Chibi,Primary School,0,158,1,1,24,0,0,184,184
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,4,Mavhumashava (open space),Tent,2,174,1,2,31,4,0,214,210
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,4,Pakati BC,Tent,3,204,2,4,64,9,0,286,277
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,4,Shiku,Primary School,3,123,2,3,63,6,0,200,194
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,4,Venge,Primary School,8,237,0,10,94,7,0,356,349
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,7,Bilashaba,Primary School,1,207,0,9,84,5,0,306,301
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,7,Fishu,Primary School,3,168,1,2,61,2,0,237,235
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,7,Ngomeyebani,Secondary school,3,65,0,7,67,1,0,143,142
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,7,Sharavande,Preschool,0,117,0,7,39,2,0,165,163
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,7,Siboza,Primary School,1,154,0,12,173,13,0,353,340
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,8,Chamini,Primary School,0,180,0,5,22,1,0,208,207
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,8,Mabasa,Council Hall,1,153,0,5,73,2,0,234,232
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,8,Marovanidze,Primary School,1,198,1,5,81,4,0,290,286
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,8,Ramhofu,Primary School,1,87,0,6,18,3,0,115,112
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,9,Bera,Secondary school,1,77,1,3,31,2,0,115,113
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,9,Danga,Primary School,1,186,0,6,40,3,0,236,233
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,9,Danga BC,Tent,3,279,1,5,30,2,0,320,318
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,9,Murima Church,Tent,0,166,1,6,45,7,0,225,218
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,10,Chachitsa,Secondary school,1,97,0,0,32,3,0,133,130
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,10,Lundi,Clinic,1,143,0,10,104,11,0,269,258
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,10,Mafuwe (Mukamba),Tent,0,183,1,7,44,3,0,238,235
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,10,Sasula,Primary School,0,88,0,3,36,3,0,130,127
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,10,Vaka Church,Tent,4,316,0,6,89,6,0,421,415
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,13,Boromokwa,Primary School,1,171,0,6,19,6,0,203,197
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,13,Chenhunguru,Secondary school,1,92,1,8,76,3,0,181,178
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,13,Makovere,Primary School,2,163,0,5,88,3,0,261,258
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,13,Musuki BC,Tent,3,204,1,7,166,9,0,390,381
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,13,Weleza,Primary School,4,197,0,6,72,13,0,292,279
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,14,Chedope,Primary School,0,388,0,2,24,3,0,417,414
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,14,Chirere,Primary School,2,452,1,1,28,6,0,490,484
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,14,Finale Homestead,Workshop,1,116,0,1,5,1,0,124,123
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,14,Gwemvurachena,Primary School,6,274,3,1,21,3,0,308,305
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,14,Sabi Gold Mine,Community Hall,3,213,0,7,88,8,0,319,311
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,14,Woodlands,Primary School,1,114,0,0,4,3,0,122,119
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,15,Gwamadube,Primary School,0,137,2,4,60,2,0,205,203
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,15,Gwemombe Langwani,Primary School,3,100,1,7,41,5,0,157,152
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,15,Indava BC,Preschool,1,102,0,5,27,3,0,138,135
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,15,Manyarira,Primary School,2,105,1,8,64,5,0,185,180
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,15,Mheta,Preschool,0,220,1,4,29,4,0,258,254
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,15,Vugwi BC,Tent,1,171,2,6,108,5,0,293,288
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,15,Vukwe,Primary School,2,204,1,11,73,7,0,298,291
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,15,Zvoi,Primary School,0,93,1,2,19,3,0,118,115
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,16,Gudo Clinic,Tent,3,302,0,3,89,12,0,409,397
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,16,Gwemombe Dip,Primary School,1,82,0,2,25,1,0,111,110
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,16,Mototi,Primary School,3,298,0,8,59,17,0,385,368
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,16,Mototi BC,Tent,1,132,0,0,31,2,0,166,164
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,17,Mapedza,Primary School,4,208,2,16,103,12,0,345,333
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,17,Mtambi,Community Hall,2,410,1,5,131,13,0,562,549
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,17,Zeruvi,Primary School,2,281,0,18,85,8,0,394,386
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,17,Zungwi BC,Tent,0,439,0,2,61,5,0,507,502
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,18,Baradzanwa,Primary School,0,211,0,1,27,0,0,239,239
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,18,Chinembeure,Secondary school,7,149,0,6,87,12,0,261,249
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,18,Gundekunde,Primary School,2,286,0,12,77,13,0,390,377
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,18,Mukwakwe,Primary School,3,207,0,7,60,6,0,283,277
Midlands,Runde RDC,Zvishavane,Zvishavane-Runde,18,Murowa,Primary School,2,180,2,4,93,6,0,287,281
