Province,Local Authorithy,District,Constituency,"WardNo.",Polling Station,Facility,"Dabengwa DumisoZAPU","Mugabe RobertGabriel ZANU PF","Mukwashe MunodeiKisinoti ZDP","Ncube WelshmanMDC","Tsvangirayi MorganMDC-T","Total VotesRejected","Ballot PaperUnaccounted for",Total Votes Cast,"TotalValidVotesCast"
Midlands,Shurugwi Town counc,lShurugwi,Shurugwi North,11,Sebanga Park 3 ZBS Shopping Ce,Tterent,1,312,2,7,150,6,0,478,472
Midlands,Shurugwi Town counc,lShurugwi,Shurugwi North,11,Sungano Motel,Motel,1,79,0,4,73,0,0,157,157
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Shurugwi Town counc,lShurugwi,Shurugwi North,12,Sebanga Park Extension,Tent,3,179,1,14,174,10,0,381,371
Midlands,Shurugwi Town counc,lShurugwi,Shurugwi North,12,Shurugwi 2,Secondary school,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Shurugwi Town counc,lShurugwi,Shurugwi North,13,Peak Hall,Community Hall,1,312,2,7,150,6,0,478,472
Midlands,Shurugwi Town counc,lShurugwi,Shurugwi North,13,Peak Mine,Primary School,1,79,0,4,73,0,0,157,157
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,1,Chitora,Primary School,6,525,0,5,105,23,0,664,641
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,1,Munikwa,Primary School,3,162,0,0,24,6,0,195,189
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,1,Tangley Ranch,Primary School,7,364,0,0,36,18,0,425,407
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,12,St Marys Poshai,Primary School,3,179,1,14,174,10,0,381,371
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,12,Tongogara,Public office,1,313,0,8,207,24,0,553,529
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,12,Tumba,Primary School,1,91,0,5,51,6,0,154,148
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,13,Hanke,Primary School,1,38,0,2,41,1,0,83,82
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,13,Hanke Mission BC,Tent,1,306,1,24,140,11,0,483,472
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,13,Musabezi,Primary School,1,183,0,5,180,7,0,376,369
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,13,Zvamaunje,Primary School,5,316,4,20,175,20,0,540,520
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,14,Machacha BC,Tent,1,167,0,6,127,7,0,308,301
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,14,Magumise,Primary School,1,72,2,1,22,1,0,99,98
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,14,St Francis Nhema,Primary School,0,58,0,8,106,14,0,186,172
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,14,Svika,Clinic,2,256,3,14,129,20,0,424,404
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,14,Takunda,Secondary school,1,49,0,3,53,4,0,110,106
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,15,Chomusvisvinwa- Hwinya BC,Tent,1,201,0,3,88,2,0,295,293
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,15,Dombwe,Primary School,1,126,1,6,186,8,0,328,320
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,15,Makonese,Primary School,0,74,0,3,80,1,0,158,157
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,15,Sibolise,Primary School,2,128,0,4,75,0,0,209,209
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,16,Chiltern,Primary School,0,181,0,1,23,3,0,208,205
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,16,Dhlemiti,Primary School,0,123,0,1,28,3,0,155,152
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,16,Hilton DDF (Chigara),Tent,0,154,0,0,7,11,0,172,161
Midlands,Tongogara RDC,Shurugwi,Shurugwi North,16,Pasimupindu Cooperative,Tent,0,165,1,1,5,5,0,177,172
