Province,Local Authority,District,CONSTITUENCY,"WardNo.",Polling Stations,Facility,"DabengwaDumiso ZAPU","Mugabe RobertGabriel ZANUPF","MukwazheMunodeiKisinoti ZDP","NcubeWelshmanMDC","TsvangirayiMorgan  MDC-T","Total VotesRejected","Ballot PaperUnaccounted for",Total Votes Cast,"Total Valid VotesCast"
,,,,,,,,,,,,,,,
Mat North,Umguza RDC,Umguza,Umguza,14,St James Mission Pry,School,3,167,1,6,22,0,0,199,199
Mat North,Umguza RDC,Umguza,Umguza,14,George Silundika Pry,School,2,164,1,17,99,12,0,295,283
Mat North,Umguza RDC,Umguza,Umguza,14,Muntu Pry,School,2,197,0,6,21,5,0,231,226
Mat North,Umguza RDC,Umguza,Umguza,14,Bantu Pry,School,0,81,0,0,11,1,0,93,92
Mat North,Umguza RDC,Umguza,Umguza,14,Redbank Pry,School,2,313,2,5,34,14,0,370,356
Mat North,Umguza RDC,Umguza,Umguza,14,Lonsdale,Tent,3,97,0,2,14,2,0,118,116
Mat North,Umguza RDC,Umguza,Umguza,14,Chesa Pry,School,3,42,1,4,47,3,0,100,97
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Umguza RDC,Umguza,Umguza,15,Nyamandlovu RG Sub Off,Tcent,4,244,3,11,133,3,0,398,395
Mat North,Umguza RDC,Umguza,Umguza,15,Accutt and Crews,Tent,1,229,3,5,42,8,0,288,280
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Umguza RDC,Umguza,Umguza,16,Rangemore Pry,School,15,177,0,19,207,5,0,423,418
Mat North,Umguza RDC,Umguza,Umguza,16,Khami Pry,School,3,443,1,14,667,27,0,1155,1128
Mat North,Umguza RDC,Umguza,Umguza,16,Mnondu Pry,School,2,64,0,2,9,4,0,81,77
Mat North,Umguza RDC,Umguza,Umguza,16,Stanhope North,Tent,6,159,1,16,29,8,0,219,211
Mat North,Umguza RDC,Umguza,Umguza,16,Heloka,Tent,0,53,0,6,27,4,0,90,86
Mat North,Umguza RDC,Umguza,Umguza,16,Mbonqane Pry,School,0,66,0,5,22,0,0,93,93
Mat North,Umguza RDC,Umguza,Umguza,16,Tsetse,Tent,7,188,0,8,36,1,0,240,239
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Umguza RDC,Umguza,Umguza,18,St Peters Pry,School,2,72,1,11,31,9,0,126,117
Mat North,Umguza RDC,Umguza,Umguza,18,Lukukwe Pry,School,2,50,2,12,76,9,0,151,142
Mat North,Umguza RDC,Umguza,Umguza,18,Hlabathi Pry,School,3,83,3,13,44,4,0,150,146
Mat North,Umguza RDC,Umguza,Umguza,18,Tape Borehole,Tent,2,52,0,4,10,4,0,72,68
Mat North,Umguza RDC,Umguza,Umguza,18,Mavagazini,Tent,1,13,2,1,32,1,0,50,49
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Umguza RDC,Umguza,Umguza,19,Makokomba Pry,School,14,277,0,7,33,12,0,343,331
Mat North,Umguza RDC,Umguza,Umguza,19,Joana Mafuyana Pry,School,0,215,0,5,24,18,0,262,244
Mat North,Umguza RDC,Umguza,Umguza,19,Mazinini Pry,School,2,75,1,2,4,0,0,84,84
Mat North,Umguza RDC,Umguza,Umguza,19,Nyamandlovu Pry,School,1,163,0,7,27,9,0,207,198
Mat North,Umguza RDC,Umguza,Umguza,19,Nganda Pry,School,5,501,3,12,42,23,0,586,563
Mat North,Umguza RDC,Umguza,Umguza,19,Mimosa Resettlement.,Tent,3,77,2,4,12,3,0,101,98
