Province,Local Authority,District,Constituency,"Wardo.",Polling Station,Facility,"DabengwaDumiso(ZAPU)","Mugabe RobertGabriel (ZANU PF)","MukwazheMunodeiKisinoti(ZDP)","NcubeWelshman(MDC)","Tsvangirai Morgan(MDC-T)","Total VotesRejected","Ballot PapersUnaccountedfor",Total Votes Cast,"Total Valid VotesCast",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,17,Seke 6 A,Secondary School,3,114,0,3,291,3,0,414,411,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,17,Hadzina N/Mharapara,Tent West,0,68,0,4,276,0,0,348,348,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,17,Seke 6 B,Secondary School,0,46,2,4,197,1,0,250,249,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,17,Seke 6 C,Secondary School,0,55,0,1,196,0,0,252,252,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,17,Seke 6 D,Secondary School,0,48,0,2,169,1,0,220,219,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,17,Sharon Cohen,Primary School,1,122,0,5,299,2,0,429,427,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,17,Unit K,Pre-school,1,233,0,10,469,2,0,715,713,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,17,Satchesai A,Primary School,0,100,1,6,182,1,0,290,289,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,17,Satchesai B,Primary School,2,184,1,4,352,12,0,555,543,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,19,Tamuka A,Primary School,1,202,0,12,371,5,0,591,586,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,19,Tamuka B,Primary School,0,157,0,12,330,7,0,506,499,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,19,Tamuka C,Primary School,0,174,1,6,292,3,0,476,473,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,19,Farayi A,Primary School,0,156,0,6,247,1,0,410,409,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,19,Farayi B,Primary School,0,259,0,6,373,7,0,645,638,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,19,Farayi C,Primary School,3,204,2,6,349,5,0,569,564,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,21,Fungisai A,Primary School,2,109,0,2,126,0,0,239,239,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,21,Fungisai B,Primary School,0,64,0,2,142,2,0,210,208,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,21,Fungisai C,Primary School,0,114,0,4,188,1,0,307,306,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,21,Fungisai D,Primary School,1,125,0,2,148,1,0,277,276,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,21,Chinembiri A,Primary School,0,197,0,9,216,1,0,423,422,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,21,Chinembiri B,Primary School,1,116,0,3,179,1,0,300,299,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,21,Chinembiri C,Primary School,0,129,0,6,259,1,0,395,394,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,21,Chinembiri D,Primary School,0,126,0,8,247,2,0,383,381,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,21,Dzidzayi A,Primary School,0,110,0,7,248,5,0,370,365,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,21,Dzidzayi B,Primary School,1,106,0,2,241,8,0,358,350,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,21,Dzidzayi C,Primary School,0,104,0,5,251,2,0,362,360,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,21,Dzidayi D,Creche,0,108,0,10,253,4,0,375,371,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,21,Hadzina N/Mharapara,Tent North East,1,129,0,7,226,10,0,373,363,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,25,DDF Seke Chiefs' Hall (Makoni) B,Hall,0,438,0,1,133,4,0,576,572,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,25,Speciss,Tent,1,463,2,8,304,3,0,781,778,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,25,Seke Teachers A,College,0,180,1,3,280,8,0,472,464,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,25,Seke Teachers B,College,0,697,0,9,431,21,0,1158,1137,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,25,Makoni Post Office,Tent,0,318,0,0,326,5,0,649,644,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,25,Unit G Extension Open Space,Tent,1,208,0,7,345,3,0,564,561,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza North,25,DDF Seke Chiefs' Hall (Makoni) A,Hall,1,369,0,0,139,1,0,510,509,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza South,18,Seke 3 A,Secondary School,0,119,1,2,133,3,0,258,255,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza South,18,Seke 3 B,Secondary School,0,110,0,2,152,2,0,266,264,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza South,18,Seke 3 C,Secondary School,1,149,0,0,167,3,0,320,317,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza South,18,Seke 13 A,Primary School,0,250,0,2,199,3,0,454,451,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza South,18,Seke 13 B,Primary School,1,283,0,4,233,5,0,526,521,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza South,18,Seke 13 C,Tent,0,243,0,4,166,17,0,430,413,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza South,18,Seke 13 D,Primary School,1,291,0,3,194,4,0,493,489,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza South,18,Unit L Creche,Creche,1,262,0,11,333,4,0,611,607,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza South,18,Unit L Shops Opposite Redan Service Station,Tent,0,220,1,10,282,6,0,519,513,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza South,22,Tasimukira A,Primary School,0,190,0,5,319,13,0,527,514,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza South,22,Tasimukira B,Primary School,1,208,0,4,385,6,0,604,598,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza South,22,Tasimukira  C,Primary School,1,185,0,5,351,8,0,550,542,
Harare,Chitungwiza Municipality,Chitungwiza,Chitungwiza South,22,Seke 5 A,Secondary School,0,347,0,3,339,7,0,696,689,
