Province,Local Authority,District,Constituency,Ward No.,Polling Station,Facility,"DabengwaDumisoZAPU","Mugabe RobertGabriel    ZANU PF","MukwazheMunodeiKisinoti ZDP","NcubeWelshmanMDC","TsvangirayiMorganMDC-T","Total VotesRejected","Ballot PaperUnaccounted for","Total VotesCast","Total ValidVotes Cast",
Manicaland,Mutasa RDC,Mutasa,Mutasa North,9,Kostern Primary School,School,0,72,0,5,179,6,0,262,256,
,,,,,,,,,,,,,,,,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,9,Makwasa Primary School,School,3,235,0,11,123,20,0,392,372,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,9,Muuya Village(Tent),Tent,0,56,1,3,38,7,0,105,98,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,9,Ngarura Primary School,School,8,198,1,11,119,9,0,346,337,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,9,Nyamaende Primary School,School,2,72,0,2,29,1,0,106,105,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,9,Rupinda Primary School,School,0,189,4,14,126,7,0,340,333,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,28,Chavhanga Primary School,School,11,279,2,11,119,13,0,435,422,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,28,Mapureti Business Centre,Tent,2,122,0,15,50,11,0,200,189,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,28,Pachije Primary School,School,5,133,1,11,147,12,0,309,297,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,29,Chiwanza Compound (Tent),Tent,0,136,1,0,41,4,0,182,178,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,29,Katiyo Community Hall,Hall,0,129,1,4,107,5,0,246,241,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Manicaland,Mutasa RDC,Mutasa,Mutasa North,30,Muterere Secondary School,School,4,276,2,17,203,7,0,509,502,
