Province,LOCAL AUTHORITY,DISTRICT,CONSTITUENCY,WARD NO.,POLLING STATIONS,FACILITY,"DabengwaDumiso ZAPU","Mugabe RobertGabriel ZANU PF","MukwazheMunodei KisinotiZDP","NcubeWelshman MDC","Tsvangirayi MorganMDC-T","Total VotesRejected","Ballot PaperUnaccounted for",Total Votes Cast,"TotalValidVotesCast"
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,11,Sigiti Pry School,School,1,83,0,13,99,13,0,209,196
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,12,Kumbudzi Pry School,School,7,164,3,33,224,12,0,443,431
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,12,Munkula Pry School,School,2,19,1,12,74,4,0,112,108
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,12,Matolokisi Pre School,School,3,62,4,23,148,7,0,247,240
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,12,Bezha Sec. School,School,0,34,1,9,67,7,0,118,111
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,12,Bezha Pry School,School,1,22,0,5,106,2,0,136,134
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,13,Irrisvale Pry School,School,0,17,0,4,7,0,0,28,28
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,13,Irrisvale Old Clinic,Clinic,6,112,0,15,30,5,0,168,163
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,13,Village 4 Bus. Centre,Tent,2,82,0,6,42,4,0,136,132
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,13,Irrisvale Old People's Home,Building,2,44,1,14,60,2,0,123,121
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,14,Mpisini Pry School,School,15,218,5,14,55,7,0,314,307
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,14,Bayethe Pry School,School,5,142,0,3,19,10,0,179,169
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,14,Mvuthu Annex Sec School,School,5,147,1,2,17,5,0,177,172
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,14,Malungwane Pry School,School,1,145,0,3,1,8,0,158,150
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,14,Bafazi Dip Tank,Tent,2,113,1,1,8,3,0,128,125
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,15,Redrose Mine,Tent,0,39,2,4,62,2,0,109,107
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,15,Esigodini Pry School,School,0,52,1,7,43,2,0,105,103
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,15,Ncema Water Tanks,Tent,0,7,0,2,29,0,0,38,38
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,16,Mvuthu Pry School,School,2,213,0,11,142,8,0,376,368
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,16,Mvuthu Sec School,School,2,175,1,13,149,1,0,341,340
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,17,Mpofini Pry School,School,0,137,0,1,1,2,0,141,139
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,17,RDC Ground,Tent,6,182,1,27,113,12,0,341,329
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,17,Thelamanzi Kiosk,Tent,3,105,1,13,76,3,0,201,198
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,17,Esigodini Agric. College,School,0,34,0,2,22,0,0,58,58
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,18,How Mine Community Hall,Hall,8,148,2,20,746,10,0,934,924
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,18,Chapangali Wild Life,Tent,16,36,1,17,97,5,0,172,167
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,18,Nevada Bus. Centre,Tent,7,30,0,13,126,5,0,181,176
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane ,19,Zimbili Pry School,School,4,180,0,8,23,7,0,222,215
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane ,19,Glengrey Pry School,School,1,56,0,4,46,4,0,111,107
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane ,19,Godlwayo Pry School,School,5,106,3,5,18,2,0,139,137
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,19,Ntabende Pry School,School,5,167,1,1,19,4,0,197,193
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,19,Carlisle Pry School,School,3,87,1,16,74,3,0,184,181
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,19,Sacred Heart Pry School,School,0,31,1,3,31,2,0,68,66
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,19,Fort Rixon Turn Off,Tent,2,141,0,2,19,2,0,166,164
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,20,Mbalabala Post Office,Tent,6,454,4,13,78,8,0,563,555
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,20,Portbury Homestead,Tent,0,69,0,2,11,5,0,87,82
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,20,Inyakuni Pry School,School,2,102,0,3,8,1,0,116,115
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,20,Enyema Village,Tent,1,41,0,1,2,0,0,45,45
