Province,LOCAL AUTHORITY,DISTRICT,CONSTITUENCY,WARD NO.,POLLING STATIONS,FACILITY,"DabengwaDumiso ZAPU","Mugabe RobertGabriel ZANU PF","MukwazheMunodei KisinotiZDP","NcubeWelshman MDC","Tsvangirayi MorganMDC-T","Total VotesRejected","Ballot PaperUnaccounted for",Total Votes Cast,"TotalValidVotesCast"
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,1,Sigola Pry School,School,8,274,3,25,195,7,0,512,505
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,1,Imbizo Bus. Centre,Tent,5,129,2,4,54,4,0,198,194
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,1,Zanqaweni Pre School,School,4,143,1,12,85,3,0,248,245
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,2,Sihlengeni Pry School,School,4,173,4,26,218,11,0,436,425
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,2,Siphezini Pry School,School,3,24,0,11,51,0,0,89,89
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,2,Siphezini Old Clinic,Tent,1,84,0,5,63,1,0,154,153
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,2,Nhlozamandla Pre School,School,8,111,2,13,114,6,0,254,248
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,3,Sikhoveni Pry School,School,7,106,2,28,149,10,0,302,292
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,3,Sikhoveni Sec School,School,1,51,1,13,88,1,0,155,154
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,3,Matshetshe Pry School,School,5,104,2,21,154,10,0,296,286
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,3,Mtshede Pry School,School,11,61,1,18,86,7,0,184,177
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,3,Mzinyathi  Pry School,School,1,64,0,15,83,11,0,174,163
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,3,Gongo Pre School,Tent,5,101,3,25,148,5,0,287,282
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,4,Bonjeni Pry School,School,0,99,2,10,123,3,0,237,234
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,4,Donyana Pry School,School,4,126,0,10,170,3,0,313,310
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,4,Nsezi Pry School,School,4,121,1,13,114,2,0,255,253
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,4,Mbingizwe Pry School,School,2,189,4,29,67,6,0,297,291
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,4,Mbingizwe Pre School,School,1,47,0,10,39,0,0,97,97
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,5,Mzinyathini Sec School,School,1,86,0,23,107,6,0,223,217
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,5,Mawabeni Pry School,School,19,136,4,75,261,7,0,502,495
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,5,Mlomolihoto Pry School,School,4,94,6,44,151,4,0,303,299
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,6,Nonkwane Pry School,School,6,74,0,23,201,2,0,306,304
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,6,Longfield Pry School,School,23,152,2,33,264,8,0,482,474
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,6,Nswazi Sec School,School,3,34,0,14,82,6,0,139,133
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,7,Nswazi Pry School,School,2,85,1,10,86,8,0,192,184
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,7,Mathendele Orap Centre,Tent,1,41,1,12,71,3,0,129,126
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,7,Sezhube Bus. Centre,Tent,2,95,0,10,137,6,0,250,244
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,7,Madlindevu Granding Mill,Tent,2,36,0,25,152,19,0,234,215
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,8,Tshalimbe Pry School,School,2,56,0,5,43,1,0,107,106
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,8,Shale Pry School,School,4,217,1,17,60,2,0,301,299
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,8,Zhilo Pry School,School,1,62,1,23,119,3,0,209,206
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,8,Diana's Pool Bus. Centre,Tent,2,81,0,10,82,2,0,177,175
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,10,Silobi Pry School,School,2,115,0,35,88,4,0,244,240
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,10,Sotsha Pry School,School,0,37,0,9,34,1,0,81,80
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,10,Mdinwa Hills,Tent,1,40,2,20,37,6,0,106,100
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,11,Dula Pry School,School,3,164,1,21,87,3,0,279,276
Mat South,Umzingwane  R.D.C,Umzingwane,Umzingwane,11,Impu Pry School,School,1,72,0,9,56,0,0,138,138
