province,local_authority,ward_no,candidate,sex,party,contested,votes
bulawayo,bulawayo municipality,24,nhliziyo victor,m,zapu,1,211
bulawayo,bulawayo municipality,25,dube mzama,m,mdc-t,1,2805
bulawayo,bulawayo municipality,25,mlilo alice,f,zanu pf,1,1540
bulawayo,bulawayo municipality,25,ndlovu joseph,m,mdc,1,654
bulawayo,bulawayo municipality,25,ndlovu jonathan,m,zapu,1,174
bulawayo,bulawayo municipality,26,hlabano norman,m,mdc-t,1,1975
bulawayo,bulawayo municipality,26,mpofu enerst ignatius,m,mdc,1,490
bulawayo,bulawayo municipality,26,moyo danisa,m,zapu,1,249
bulawayo,bulawayo municipality,26,moyo sibongile,f,a.k.e,1,47
bulawayo,bulawayo municipality,26,sibanda lungisani,m,zanu pf,1,864
bulawayo,bulawayo municipality,26,sauramba lemmy artin,m,independent,1,86
bulawayo,bulawayo municipality,27,khumalo siboniso,m,mdc-t,1,2187
bulawayo,bulawayo municipality,27,charumbira kalfinos,m,zanu pf,1,1158
bulawayo,bulawayo municipality,27,ndlovu edwin,m,mdc,1,503
bulawayo,bulawayo municipality,27,ncube peter,m,zapu,1,92
bulawayo,bulawayo municipality,28,ndhlovu collet,m,mdc-t,1,3343
bulawayo,bulawayo municipality,28,nkomo nqabutho,m,zanupf,1,1916
bulawayo,bulawayo municipality,28,bungu merjury,f,mdc,1,667
bulawayo,bulawayo municipality,28,dube enock,m,zapu,1,221
bulawayo,bulawayo municipality,28,mathuthu mbuso,m,independent,1,155
bulawayo,bulawayo municipality,28,ndhlovu clemence,m,ake,1,35
bulawayo,bulawayo municipality,29,lubimbi monicah,f,mdc-t,1,2640
bulawayo,bulawayo municipality,29,mabanda kelboy,m,mdc,1,836
bulawayo,bulawayo municipality,29,ncube gezephi,f,zanu pf,1,754
harare,chitungwiza municipality,1,muchakwa tichaona,m,mdc-t,1,878
harare,chitungwiza municipality,1,mbewa rodwell,m,zanu-pf,1,855
harare,chitungwiza municipality,1,kondwani collen,m,umd,1,43
harare,chitungwiza municipality,2,mutoti phillip,m,mdc-t,1,1135
harare,chitungwiza municipality,2,gunda moab,m,zanu pf,1,1103
harare,chitungwiza municipality,2,sekhala annah,f,mdc,1,81
harare,chitungwiza municipality,2,zigara webster alex,m,independent,1,35
harare,chitungwiza municipality,3,saimon tendai,m,mdc-t,1,967
harare,chitungwiza municipality,3,pfani godfrey,m,zanu pf,1,709
harare,chitungwiza municipality,3,matiyenga john,m,independent,1,237
harare,chitungwiza municipality,3,gwabada nori,f,mdc,1,112
harare,chitungwiza municipality,4,mapuranga shuddy,m,zanu pf,1,1476
harare,chitungwiza municipality,4,jateni mangira,m,mdc-t,1,1263
harare,chitungwiza municipality,4,manyonganise boniface,m,mdc-t,1,562
harare,chitungwiza municipality,5,chamutsa richard,m,mdc-t,1,882
harare,chitungwiza municipality,5,mutambi muranganwa,m,zanu pf,1,676
harare,chitungwiza municipality,5,madzinga fungai,m,mdc,1,85
harare,chitungwiza municipality,6,dzere rudo,f,zanu-pf,1,1812
harare,chitungwiza municipality,6,dzvukamanja richard,m,mdc-t,1,1291
harare,chitungwiza municipality,6,nyarenda mathew,m,mdc-t,1,78
harare,chitungwiza municipality,6,moyo johnson mukaro,m,independent,1,72
harare,chitungwiza municipality,6,ndebele siphatisiwe,f,mdc,1,11
harare,chitungwiza municipality,7,mlambo charamba,m,zanu-pf,1,692
harare,chitungwiza municipality,7,musonza chakanetsa,m,mdc-t,1,572
harare,chitungwiza municipality,7,kazuru tinashe,m,mdc-t,1,550
harare,chitungwiza municipality,7,matundu kudakwashe daniel,m,umd,1,132
harare,chitungwiza municipality,7,muza arnold,m,mdc,1,54
harare,chitungwiza municipality,8,majoni maria,f,mdc-t,1,1577
harare,chitungwiza municipality,8,sangweni nyika,m,zanu-pf,1,804
harare,chitungwiza municipality,9,mushangwe godwils,m,mdc-t,1,1137
harare,chitungwiza municipality,9,choto w. nancy,f,zanu-pf,1,924
harare,chitungwiza municipality,9,majakwara terence,m,mdc,1,148
harare,chitungwiza municipality,10,murambakutongwa francis,m,mdc-t,1,1473
harare,chitungwiza municipality,10,kavimba ritha,f,zanu-pf,1,843
harare,chitungwiza municipality,11,murandu amon,m,zanu-pf,1,698
harare,chitungwiza municipality,11,makowe jane,f,mdc-t,1,668
harare,chitungwiza municipality,11,kanyama brighton,m,mdc-t,1,514
harare,chitungwiza municipality,11,munangu musevenzo,m,mdc,1,91
harare,chitungwiza municipality,12,musonza darlingtone,m,mdc-t,1,1586
harare,chitungwiza municipality,12,dzamara pension d.,m,zanu-pf,1,1012
harare,chitungwiza municipality,12,maromo munyaradzi clifford,m,mdc,1,214
harare,chitungwiza municipality,12,makamba francis,m,umd,1,34
harare,chitungwiza municipality,13,ruzvidzo musekiwa,m,mdc-t,1,1263
harare,chitungwiza municipality,13,nyuke ebby,m,zanu-pf,1,903
harare,chitungwiza municipality,13,ndoro sdney,m,mdc,1,140
harare,chitungwiza municipality,14,chibvongodze lameck,m,zanu-pf,1,1841
harare,chitungwiza municipality,14,munemo denis,m,mdc-t,1,1781
harare,chitungwiza municipality,14,dube melusi,m,mdc,1,216
harare,chitungwiza municipality,14,kwaramba flavious,m,umd,1,32
harare,chitungwiza municipality,15,mashayamombe nicholas,m,zanu-pf,1,1660
harare,chitungwiza municipality,15,chinozvina thandiwe,f,mdc-t,1,1463
harare,chitungwiza municipality,15,ncube deron,m,mdc,1,210
harare,chitungwiza municipality,16,zemura muchaneta,f,mdc-t,1,1110
harare,chitungwiza municipality,16,chiramba tapson,m,zanu-pf,1,997
harare,chitungwiza municipality,16,usayiwevhu lorraine,f,mdc-t,1,949
harare,chitungwiza municipality,16,chidano charles,m,mdc,1,175
harare,chitungwiza municipality,17,jena beula,f,mdc-t,1,1546
harare,chitungwiza municipality,17,mutake ellen,f,zanu-pf,1,998
harare,chitungwiza municipality,17,rukweza david,m,mdc-t,1,895
harare,chitungwiza municipality,18,masango kalisto,m,zanu-pf,1,1905
harare,chitungwiza municipality,18,demawatema david,m,mdc-t,1,1695
harare,chitungwiza municipality,18,gondokondo hildah,f,mdc,1,168
harare,chitungwiza municipality,18,magorokosho taurayi,m,umd,1,38
harare,chitungwiza municipality,19,makweza musa,m,mdc-t,1,1808
harare,chitungwiza municipality,19,ngoshi norman,m,zanu-pf,1,1196
harare,chitungwiza municipality,19,jiri punish sherphed,m,independent,1,162
harare,chitungwiza municipality,20,katewa phanuel,m,zanu-pf,1,1096
harare,chitungwiza municipality,20,chilimanzi barnabas,m,mdc-t,1,915
harare,chitungwiza municipality,20,pedzisai luka,m,independent,1,392
harare,chitungwiza municipality,20,chikwama ever,m,mdc,1,111
harare,chitungwiza municipality,21,chirwa fungai,f,mdc-t,1,2626
harare,chitungwiza municipality,21,diza maxwell,m,zanu-pf,1,1642
harare,chitungwiza municipality,21,usada booker washington f.,m,umd,1,55
harare,chitungwiza municipality,22,mangoma chido,f,mdc-t,1,1933
harare,chitungwiza municipality,22,mushawatu brezhnev,m,zanu-pf,1,1549
harare,chitungwiza municipality,22,mutenga rosemary mandisema,f,mdc,1,199
harare,chitungwiza municipality,23,jasoni betty tisungane,f,zanu-pf,1,2544
harare,chitungwiza municipality,23,katumba miriam,f,mdc-t,1,1649
harare,chitungwiza municipality,23,chiriri wendy,f,mdc-t,1,1354
harare,chitungwiza municipality,23,kayenda abigail,f,mdc,1,222
harare,chitungwiza municipality,24,mazenge mavis,f,mdc-t,1,2106
harare,chitungwiza municipality,24,machinga crispen,m,zanu-pf,1,1861
harare,chitungwiza municipality,24,makwara clara m.,f,umd,1,140
harare,chitungwiza municipality,25,mabamba freddrick,m,zanu-pf,1,3080
harare,chitungwiza municipality,25,zengeya tapiwa,m,mdc-t,1,1379
harare,chitungwiza municipality,25,kabayadongo hamon,m,mdc,1,125
harare,chitungwiza municipality,25,mkwesha leonard,m,umd,1,55
harare,chitungwiza municipality,25,musiyiwa benjamin,m,mkd,1,11
harare,epworth local board,1,mazhandu erina,f,zanu-pf,1,2549
harare,epworth local board,1,chinonyengerwa joshua,m,mdc-t,1,1686
harare,epworth local board,1,katsamudanga shingirai,m,mdc,1,232
harare,epworth local board,2,chiromo japhet,m,zanu-pf,1,3536
harare,epworth local board,2,chinembiri veronica,f,mdc-t,1,1257
harare,epworth local board,2,kapondoro lameck a.,m,mdc,1,169
harare,epworth local board,3,muhambi elson,m,zanu-pf,1,928
harare,epworth local board,3,july gift,m,mdc-t,1,850
harare,epworth local board,3,changara shupi,f,mdc,1,74
harare,epworth local board,4,murambidzi tafireyi,m,zanu-pf,1,1533
harare,epworth local board,4,bande didymus,m,mdc-t,1,963
harare,epworth local board,5,chaneta eva,f,zanu-pf,1,1711
harare,epworth local board,5,nyagwete goronga,m,mdc-t,1,1286
harare,epworth local board,6,shadaya hasimon,m,zanu-pf,1,2266
harare,epworth local board,6,tawa richard,m,mdc-t,1,1264
harare,epworth local board,6,kadiki paradzai,m,mdc,1,276
harare,epworth local board,7,muchoni vengesai,m,zanu-pf,1,3258
harare,epworth local board,7,damuson damuson,m,mdc-t,1,1278
harare,epworth local board,7,chipungu victoria,f,mdc,1,182
harare,harare municipality,1,gwenambira rai,f,zanu-pf,1,20189
harare,harare municipality,1,chibwada tatenda,m,mdc-t,1,7985
harare,harare municipality,1,murisa paymore,f,mdc,1,995
harare,harare municipality,2,mahachi auxilia,f,mdc-t,1,4147
harare,harare municipality,2,nyangoni alice,f,zanu-pf,1,3770
harare,harare municipality,2,mpofu mafosi,m,mdc,1,434
harare,harare municipality,2,machekano simbarashe,m,mkd,1,201
harare,harare municipality,2,gwata william,m,mcd,1,76
harare,harare municipality,3,maseko innocent,m,zanu-pf,1,7332
harare,harare municipality,3,nhira kunaka,m,mdc-t,1,5149
harare,harare municipality,3,chitototo juliet,f,mdc,1,939
harare,harare municipality,4,matinyanya sunungukai martin,m,zanu-pf,1,7762
harare,harare municipality,4,hakata grandmore,m,mdc-t,1,4956
harare,harare municipality,4,mukakiwa tineyi,m,mdc,1,588
harare,harare municipality,5,macharangwanda paula,f,mdc-t,1,2872
harare,harare municipality,5,samushonga abraham p.,m,zanu-pf,1,1892
harare,harare municipality,6,nyatsuro charles joshua,m,mdc-t,1,2519
harare,harare municipality,6,raisi susan,f,zanu-pf,1,1360
harare,harare municipality,6,mhlanga helen,f,mdc,1,217
harare,harare municipality,7,gwasira beadle musatye,m,zanu-pf,1,1725
harare,harare municipality,7,kapare masiye,m,mdc-t,1,321
harare,harare municipality,7,mufambi francis,m,mdc,1,45
harare,harare municipality,8,mbanga christopher lovemore,m,mdc-t,1,1592
harare,harare municipality,8,gumbo mavis,f,zanu-pf,1,1580
harare,harare municipality,8,chafa charity vaidah,f,mdc,1,264
harare,harare municipality,9,mutizwa musarurwa stewart,m,mdc-t,1,6324
harare,harare municipality,9,chaniwa milton amos,m,zanu-pf,1,5724
harare,harare municipality,9,mahwere emmanuel,m,independent,1,121
harare,harare municipality,10,madzingira hammy,m,mdc-t,1,3583
harare,harare municipality,10,tichaona george,m,zanu-pf,1,1527
harare,harare municipality,10,masenda webster,m,mdc,1,223
harare,harare municipality,10,mudede ngonidzashe,m,hope,1,221
harare,harare municipality,11,shangadeya anthony,m,mdc-t,1,3450
harare,harare municipality,11,kunaka jim,m,zanu-pf,1,2283
harare,harare municipality,12,ziwacha misheck,m,mdc-t,1,3688
harare,harare municipality,12,matsika charles,m,zanu-pf,1,1736
harare,harare municipality,13,moyo peter,m,mdc-t,1,3965
harare,harare municipality,13,makwanya boniface,m,zanu-pf,1,1127
harare,harare municipality,13,manguruma biggie,m,mdc,1,388
harare,harare municipality,14,muzuva thomas musarurwa,m,mdc-t,1,6370
harare,harare municipality,14,ngwenya cecilia,f,zanu-pf,1,3200
harare,harare municipality,14,svosve precious,f,mdc,1,466
harare,harare municipality,15,moyo tranos,m,mdc-t,1,8236
harare,harare municipality,15,jonga regina,f,zanu-pf,1,3204
harare,harare municipality,15,mguni stella,f,mdc,1,811
harare,harare municipality,15,makwiza tazvitya hilda,f,mkd,1,64
harare,harare municipality,16,mudavanhu lancelot s. m.,m,mdc-t,1,5241
harare,harare municipality,16,mashavave george,m,zanu-pf,1,1876
harare,harare municipality,17,manyenyeni bernard gabriel,m,mdc-t,1,3687
harare,harare municipality,17,nyimo doisi,m,zanu-pf,1,2496
harare,harare municipality,17,mabuwa david tapera,m,independent,1,68
harare,harare municipality,18,markham allan norman,m,mdc-t,1,2391
harare,harare municipality,18,mafirambudzi brian,m,zanu-pf,1,1496
harare,harare municipality,18,berinado patrick phiri,m,mdc,1,331
harare,harare municipality,19,kufahakutizwi munyaradzi febio,m,mdc-t,1,2632
harare,harare municipality,19,damba charity zvikomborere,f,zanu-pf,1,1388
harare,harare municipality,19,karima shupikai,m,mdc,1,279
harare,harare municipality,19,ngarande kudzanayi,m,umd,1,18
harare,harare municipality,20,rose joseph,m,mdc-t,1,2884
harare,harare municipality,20,nyamukondiwa munyaradzi,m,zanu-pf,1,2558
harare,harare municipality,20,musarara richard,m,mdc,1,513
harare,harare municipality,20,maringa claud,m,umd,1,63
harare,harare municipality,21,ndira barnabas,m,mdc-t,1,2894
harare,harare municipality,21,chuma susan,f,zanu-pf,1,1909
harare,harare municipality,21,mugariwa peter,m,mdc,1,340
harare,harare municipality,21,parinya masekereya c.,f,umd,1,36
harare,harare municipality,22,manase theresa,f,mdc-t,1,4323
harare,harare municipality,22,mangwanya luckmore,m,zanu-pf,1,2274
harare,harare municipality,22,gorerokufa keith,m,mdc,1,394
harare,harare municipality,23,zibute cephas,m,mdc-t,1,4530
harare,harare municipality,23,tomu peter,m,zanu-pf,1,1884
harare,harare municipality,23,muzarira benard,m,mdc,1,545
harare,harare municipality,24,mbadzi job,m,mdc-t,1,3854
harare,harare municipality,24,mukuze fanuel,m,zanu-pf,1,1720
harare,harare municipality,24,mhembere takaedzwa,m,mdc,1,400
harare,harare municipality,25,mukunguka luckson,m,mdc-t,1,4672
harare,harare municipality,25,sungano nomatter,f,zanu-pf,1,1907
harare,harare municipality,25,tarwakuona lovemore,m,mdc,1,474
harare,harare municipality,26,zuze special,m,mdc-t,1,4857
harare,harare municipality,26,mudzongo nelson farukayi,m,zanu-pf,1,2066
harare,harare municipality,26,nyamuzonda deborah,f,mdc,1,503
harare,harare municipality,27,gomba herbert,m,mdc-t,1,4086
harare,harare municipality,27,machona stanley tongoona,m,zanu-pf,1,1198
harare,harare municipality,27,kumbula kelvin,m,independent,1,244
harare,harare municipality,28,chikombo wellington,m,mdc-t,1,2832
harare,harare municipality,28,kunaka caesar,m,zanu-pf,1,800
harare,harare municipality,28,sithole tauya,m,mdc,1,247
harare,harare municipality,29,chineka thomas,m,mdc-t,1,2130
harare,harare municipality,29,matafi alexander,m,zanu-pf,1,634
harare,harare municipality,29,marodza roster,f,mdc,1,175
harare,harare municipality,29,guzura johnsai,m,mkd,1,20
harare,harare municipality,30,muzanyi farayi,m,mdc-t,1,8128
harare,harare municipality,30,antoniao rdeliah,f,zanu-pf,1,2381
harare,harare municipality,30,chaparika george,m,umd,1,82
harare,harare municipality,31,chakeredza tonderai,m,mdc-t,1,3542
harare,harare municipality,31,mhike doubt,m,zanu-pf,1,1193
harare,harare municipality,31,tandi monica,f,mdc,1,250
harare,harare municipality,31,saurombe joseph tadzingwa,m,mkd,1,89
harare,harare municipality,32,madzokere tungamirai,m,mdc-t,1,4669
harare,harare municipality,32,chimatira donald,m,zanu-pf,1,1611
harare,harare municipality,32,chakawarika cecilia,f,mdc,1,441
harare,harare municipality,32,katare matsanzurei,f,umd,1,42
harare,harare municipality,33,chirombe audrey sydney,m,mdc-t,1,7287
harare,harare municipality,33,chirenje susan,f,zanu-pf,1,2459
harare,harare municipality,33,tsikwa tendai,m,mdc,1,434
harare,harare municipality,33,malunga magline,f,mcd,1,31
harare,harare municipality,33,tiki barbara,f,umd,1,25
harare,harare municipality,34,alisen moffat,m,mdc-t,1,2381
harare,harare municipality,34,mutero clyde,m,zanu-pf,1,849
harare,harare municipality,34,makunike brighton tawanda,m,mdc-n,1,217
harare,harare municipality,34,chiheya wurayayi grey,m,independent,1,64
harare,harare municipality,35,mupamawonde enock,m,mdc-t,1,3588
harare,harare municipality,35,ncube christine,f,zanu-pf,1,1165
harare,harare municipality,35,cedrick benson,m,mdc,1,304
harare,harare municipality,35,nyamini kizito simbarashe,m,zapu,1,61
harare,harare municipality,36,gomba loveness,f,mdc-t,1,1695
harare,harare municipality,36,saleman tatenda,m,zanu-pf,1,991
harare,harare municipality,36,sayi simango,m,mdc,1,180
harare,harare municipality,36,mapanda kevin,m,zapu,1,85
harare,harare municipality,37,mangwiro urayayi,m,mdc-t,1,8418
harare,harare municipality,37,mudyiwa kuchimani kingston,m,zanu-pf,1,2546
harare,harare municipality,37,taunezvi timothy,m,udm,1,165
harare,harare municipality,38,janjazi wilton,m,mdc-t,1,3742
harare,harare municipality,38,kuzhazha charles,m,zanu-pf,1,1992
harare,harare municipality,38,chitimbe-muchairi tongai,m,mdc,1,329
harare,harare municipality,38,tembedza lawrence,m,umd,1,21
harare,harare municipality,39,hadebe gilbert t.,m,mdc-t,1,2638
harare,harare municipality,39,daniel lovemore,m,zanu-pf,1,1199
harare,harare municipality,39,ajida omaki,m,umd,1,198
harare,harare municipality,40,garachani samuel,m,zanu-pf,1,4373
harare,harare municipality,40,karimakwenda hermatt,m,mdc-t,1,4142
harare,harare municipality,40,jojo john,m,mdc,1,558
harare,harare municipality,40,chidamba chipo,f,umd,1,143
harare,harare municipality,40,matarise fortune,m,zapu,1,67
harare,harare municipality,41,bango charity,f,mdc-t,1,5143
harare,harare municipality,41,chikungwa shadreck,m,zanu-pf,1,1734
harare,harare municipality,41,chipatiko jane shingai,f,mdc,1,414
harare,harare municipality,42,munyongera naboth,m,zanu-pf,1,6080
harare,harare municipality,42,chamukwira nobosi,m,mdc-t,1,5331
harare,harare municipality,42,kaparadza never,m,mkd,1,96
harare,harare municipality,42,magorosi tawanda,m,mkd,1,76
harare,harare municipality,43,charumbira panganai,m,mdc-t,1,6777
harare,harare municipality,43,gomwe godfrey simbarashe,m,zanu-pf,1,3607
harare,harare municipality,44,masunda regias,m,mdc-t,1,2638
harare,harare municipality,44,makuwe lloyd,m,zanu-pf,1,1233
harare,harare municipality,44,mutandiro brenda,f,mdc,1,232
harare,harare municipality,44,dhliwayo washington,m,umd,1,43
harare,harare municipality,45,mandere girisoti,m,mdc-t,1,2599
harare,harare municipality,45,magorimbo clever m.,m,zanu-pf,1,1152
harare,harare municipality,46,mangawa luckmore,m,zanu-pf,1,1402
harare,harare municipality,46,zhuwau francisco,m,mdc-t,1,1328
harare,harare municipality,46,veremu robert,m,mdc,1,174
harare,harare municipality,46,mukandi nathill chamunorwa,m,umd,1,27
manicaland,buhera rdc,1,tsodzo goodluck,m,zanu pf,1,1002
manicaland,buhera rdc,1,muvaka stenford,m,mdc t,1,625
manicaland,buhera rdc,1,chirengendure edward,m,mdc,1,52
manicaland,buhera rdc,2,bere maxmillan,m,zanu pf,1,670
manicaland,buhera rdc,2,mandizvidza elson,m,mdc t,1,639
manicaland,buhera rdc,2,madhembe israel,m,mdc,1,67
manicaland,buhera rdc,3,mubaiwa togara,m,zanu pf,1,1096
manicaland,buhera rdc,3,mgazi victor kufa,m,mdc t,1,796
manicaland,buhera rdc,3,munyati livingstone,m,mdc,1,30
manicaland,buhera rdc,4,mudadirwa frank,m,zanu pf,1,1008
manicaland,buhera rdc,4,mukucha josam,m,mdc t,1,728
manicaland,buhera rdc,4,chamisa morline,f,mdc t,1,120
manicaland,buhera rdc,4,maunganidze emma,f,mdc,1,44
manicaland,buhera rdc,5,ziki jane,f,zanu pf,1,1557
manicaland,buhera rdc,5,makuvise paul,m,mdc t,1,861
manicaland,buhera rdc,5,nubu charles,m,inde,1,496
manicaland,buhera rdc,5,maqumenkulu lawrence,m,mdc,1,118
manicaland,buhera rdc,6,nyawo james,m,zanu pf,1,1191
