Province,Local Authority,District,Constituency,"WardNo.",Polling Station,Facility,"DabengwaDumiso ZAPU","Mugabe RobertGabriel ZANU PF","MukwazheMunodeiKisinoti ZDP","NcubeWelshmanMDC","TsvangirayiMorgan MDC-T","Total VotesRejected","Ballot PaperUnaccounted for",Total Votes Cast,"TotalValidVotesCast"
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita South,3,Chiremwaremwa Primary S,Shchool,4,275,0,10,87,9,0,385,376
Masvingo,Bikita RDC,Bikita,Bikita South,3,Mafaune Primary Sch,School,7,252,6,26,124,18,0,433,415
Masvingo,Bikita RDC,Bikita,Bikita South,3,Magaisa B/Centre,Tent,9,241,7,19,127,5,0,408,403
Masvingo,Bikita RDC,Bikita,Bikita South,3,Odzi Clinic,Clinic,3,148,1,7,128,4,0,291,287
Masvingo,Bikita RDC,Bikita,Bikita South,3,Odzi Sec Sch,School,5,182,2,16,111,13,0,329,316
Masvingo,Bikita RDC,Bikita,Bikita South,3,Tabudirira Sec Sch,School,10,289,0,14,69,7,0,389,382
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita South,4,Bengura Primary Sch,School,0,169,0,7,78,7,0,261,254
Masvingo,Bikita RDC,Bikita,Bikita South,4,Ganyata Business Centre,Tent,6,191,2,19,122,12,0,352,340
Masvingo,Bikita RDC,Bikita,Bikita South,4,Jaravani Primary Sch,School,2,146,0,13,68,9,0,238,229
Masvingo,Bikita RDC,Bikita,Bikita South,4,Matsvange Roman Catholic,Church,4,227,2,8,45,4,0,290,286
Masvingo,Bikita RDC,Bikita,Bikita South,4,Mazungunye Primary Sch,School,1,247,0,7,68,12,0,335,323
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita South,6,Garanje Primary Sch,School,7,189,0,23,153,11,0,383,372
Masvingo,Bikita RDC,Bikita,Bikita South,6,Gudo Primary Sch,School,7,112,3,24,176,12,0,334,322
Masvingo,Bikita RDC,Bikita,Bikita South,6,Kushingirira Sec Sch,School,3,179,1,18,124,7,0,332,325
Masvingo,Bikita RDC,Bikita,Bikita South,6,Mutikizizi Primary Sch,School,4,197,1,6,45,6,0,259,253
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita South,7,Chipendeke Sec Sch,School,9,283,1,8,105,9,0,415,406
Masvingo,Bikita RDC,Bikita,Bikita South,7,Gwariro Primary Sch,School,4,171,0,13,89,13,0,290,277
Masvingo,Bikita RDC,Bikita,Bikita South,7,Ziki Primary Sch,School,5,314,1,4,44,8,0,376,368
Masvingo,Bikita RDC,Bikita,Bikita South,7,Zirabada Primary Sch,School,10,267,4,12,68,13,0,374,361
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita South,8,Chada Primary Sch,School,6,232,3,24,164,13,0,442,429
Masvingo,Bikita RDC,Bikita,Bikita South,8,Chitasa Clinic,Clinic,5,150,1,7,30,21,0,214,193
Masvingo,Bikita RDC,Bikita,Bikita South,8,Mukore Sec Sch,School,0,105,2,12,62,8,0,189,181
Masvingo,Bikita RDC,Bikita,Bikita South,8,Nematiore Primary Sch,School,3,175,0,6,43,5,0,232,227
Masvingo,Bikita RDC,Bikita,Bikita South,8,Nematiore Village,Tent,5,169,1,16,91,3,0,285,282
Masvingo,Bikita RDC,Bikita,Bikita South,8,Zengeya Primary Sch,School,4,241,1,31,126,16,0,419,403
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita South,26,Chedutu Primary Sch,School,10,396,1,11,90,27,0,535,508
Masvingo,Bikita RDC,Bikita,Bikita South,26,Chinyika Primary Sch,School,2,126,4,0,37,7,0,176,169
Masvingo,Bikita RDC,Bikita,Bikita South,26,Chinyika Sec Sch,School,4,163,1,2,23,3,0,196,193
Masvingo,Bikita RDC,Bikita,Bikita South,26,Makota Primary Sch,School,1,155,0,8,67,5,0,236,231
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita South,28,Checheni Primary Sch,School,0,169,0,3,38,5,0,215,210
Masvingo,Bikita RDC,Bikita,Bikita South,28,Chibvuure Primary Sch,School,1,120,0,3,67,1,0,192,191
Masvingo,Bikita RDC,Bikita,Bikita South,28,Hwami Borehole Farm 236,Tent,0,47,0,7,107,5,0,166,161
Masvingo,Bikita RDC,Bikita,Bikita South,28,Pamukamba Farm 112,Tent,0,47,1,0,23,0,,71,71
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita South,29,Chitenderano Primary Sch,School,1,31,0,1,29,2,0,64,62
Masvingo,Bikita RDC,Bikita,Bikita South,29,Mujiji Primary Sch,School,0,91,0,0,37,2,0,130,128
Masvingo,Bikita RDC,Bikita,Bikita South,29,Nyahunda ZCC Church,School,1,99,0,6,83,4,0,193,189
Masvingo,Bikita RDC,Bikita,Bikita South,29,Turgwi Primary Sch,School,1,161,0,5,13,3,0,183,180
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita West,5,Mandara Primary Sch,Sch,2,270,2,4,66,17,0,361,344
Masvingo,Bikita RDC,Bikita,Bikita West,5,Marecha Primary Sch,Sch,4,231,3,22,85,10,0,355,345
Masvingo,Bikita RDC,Bikita,Bikita West,5,Musiya Primary Sch,Sch,3,167,1,12,73,13,0,269,256
Masvingo,Bikita RDC,Bikita,Bikita West,5,Pfupajena Primary Sch,Sch,3,172,4,13,135,17,,344,327
Masvingo,Bikita RDC,Bikita,Bikita West,5,Simbaravanhu Sec Sch,Sch,1,182,1,13,83,7,0,287,280
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita West,9,Agritex Hall D.A's Office,Hall,0,379,0,15,152,18,0,564,546
Masvingo,Bikita RDC,Bikita,Bikita West,9,Fambidzanai Sec Sch,Sch,2,203,2,9,71,9,0,296,287
Masvingo,Bikita RDC,Bikita,Bikita West,9,Mandiki Primary Sch,Sch,3,117,4,13,120,11,0,268,257
Masvingo,Bikita RDC,Bikita,Bikita West,9,Ngondyore Primary Sch,Sch,8,360,6,16,141,30,0,561,531
Masvingo,Bikita RDC,Bikita,Bikita West,9,Nyemba Primary Satelite,Tent,0,116,0,1,45,5,0,167,162
Masvingo,Bikita RDC,Bikita,Bikita West,9,Nyemba Primary Sch,Sch,1,164,1,5,57,4,0,232,228
Masvingo,Bikita RDC,Bikita,Bikita West,9,Vushe Primary Sch,Sch,2,93,2,7,109,8,0,221,213
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita West,10,Bikita Masunda Sec,Sch,8,134,2,12,67,7,0,230,223
Masvingo,Bikita RDC,Bikita,Bikita West,10,Hozvi Primary Sch,Sch,3,219,1,0,33,36,0,292,256
Masvingo,Bikita RDC,Bikita,Bikita West,10,Jaravaza Primary Sch,Sch,5,540,3,22,143,10,0,723,713
Masvingo,Bikita RDC,Bikita,Bikita West,10,Mukanganwi Sec Sch,Sch,2,248,1,1,66,9,0,327,318
Masvingo,Bikita RDC,Bikita,Bikita West,10,Shereni B/Centre,Sch,0,72,0,0,12,1,0,85,84
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita West,11,Beardmore Primary Sch,Sch,4,153,2,14,105,16,0,294,278
Masvingo,Bikita RDC,Bikita,Bikita West,11,Bikita Fashu Sec Sch,Sch,1,198,1,9,110,7,0,326,319
Masvingo,Bikita RDC,Bikita,Bikita West,11,Domboshava Primary Sch,Sch,2,177,1,9,46,4,0,239,235
Masvingo,Bikita RDC,Bikita,Bikita West,11,Guru Village,Sch,1,139,3,5,61,11,0,220,209
Masvingo,Bikita RDC,Bikita,Bikita West,11,Mangondo Sec Sch,Sch,1,204,2,13,123,5,0,348,343
