Province,Local Authority,District,Constituency,"WardNo.",Polling Station,Facility,"DabengwaDumiso ZAPU","Mugabe RobertGabriel ZANU PF","MukwazheMunodeiKisinoti ZDP","NcubeWelshmanMDC","TsvangirayiMorgan MDC-T","Total VotesRejected","Ballot PaperUnaccounted for",Total Votes Cast,"TotalValidVotesCast"
Masvingo,Zaka RDC,Zaka,Zaka West,22,Muchokwa Primary Sch,Sch,1,148,0,19,187,9,0,364,355
Masvingo,Zaka RDC,Zaka,Zaka West,22,Mutonhori Sec Sch,Sch,2,100,0,9,81,9,0,201,192
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Zaka RDC,Zaka,Zaka West,23,Charingeno Primary Sch,Sch,7,131,0,16,95,13,0,262,249
Masvingo,Zaka RDC,Zaka,Zaka West,23,Mudzara Primary Sch,Sch,9,318,1,10,47,29,0,414,385
Masvingo,Zaka RDC,Zaka,Zaka West,23,Vanyoro Community Hall,Hall,5,203,2,14,83,7,0,314,307
Masvingo,Zaka RDC,Zaka,Zaka West,23,Vanyoro Primary Sch,Sch,1,177,1,5,75,8,0,267,259
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Zaka RDC,Zaka,Zaka West,24,Charuka Primary Sch,Sch,3,142,1,23,114,6,0,289,283
Masvingo,Zaka RDC,Zaka,Zaka West,24,Chipfuti Primary Sch,Sch,8,171,6,39,159,8,0,391,383
Masvingo,Zaka RDC,Zaka,Zaka West,24,Chiredzi Primary Sch,Sch,1,142,0,6,62,3,0,214,211
Masvingo,Zaka RDC,Zaka,Zaka West,24,Mukobvu B/Centre,Tent,3,60,2,4,28,2,0,99,97
Masvingo,Zaka RDC,Zaka,Zaka West,24,Mushungwa Primary Sch,Sch,4,148,2,31,214,10,0,409,399
Masvingo,Zaka RDC,Zaka,Zaka West,24,Vhudzi Primary Sch,Sch,5,326,3,16,87,3,0,440,437
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Zaka RDC,Zaka,Zaka West,27,Musenyereki( A) Sec Sch,Sch,5,267,4,14,52,11,0,353,342
Masvingo,Zaka RDC,Zaka,Zaka West,27,Musenyereki( B) Sec Sch,Sch,20,367,7,27,111,34,0,566,532
Masvingo,Zaka RDC,Zaka,Zaka West,27,Mushaya Primary Sch,Sch,4,361,0,8,51,13,0,437,424
Masvingo,Zaka RDC,Zaka,Zaka West,27,Njiva Primary Sch,Sch,8,189,2,7,39,11,0,256,245
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Zaka RDC,Zaka,Zaka West,28,Bota Primary Sch,Sch,8,302,2,17,76,14,0,419,405
Masvingo,Zaka RDC,Zaka,Zaka West,28,Chivamba Registry Sub Of,iHcea lHl all,11,294,2,9,101,38,0,455,417
Masvingo,Zaka RDC,Zaka,Zaka West,28,Mujena Primary Sch,Sch,2,216,1,12,86,8,0,325,317
Masvingo,Zaka RDC,Zaka,Zaka West,28,Rudhanda Sec Sch,Sch,6,261,1,8,153,4,0,433,429
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Zaka RDC,Zaka,Zaka West,29,Dekeza Primary Sch,Sch,3,152,1,6,73,8,0,243,235
Masvingo,Zaka RDC,Zaka,Zaka West,29,Kwaramba Village,Tent,12,199,2,7,40,4,0,264,260
Masvingo,Zaka RDC,Zaka,Zaka West,29,Sazaume Primary Sch,Sch,9,174,3,9,44,8,0,247,239
Masvingo,Zaka RDC,Zaka,Zaka West,29,Shumba B/Centre,Tent,8,292,1,3,28,5,0,337,332
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Zaka RDC,Zaka,Zaka West,33,Jinjika Sec Sch,Sch,5,298,0,13,126,18,0,460,442
Masvingo,Zaka RDC,Zaka,Zaka West,33,Mudavanhu Primary Sch,Sch,9,495,1,14,106,9,0,634,625
Masvingo,Zaka RDC,Zaka,Zaka West,33,Tangwara B/Centre,Tent,2,91,1,7,44,2,0,147,145
Masvingo,Zaka RDC,Zaka,Zaka West,33,Veza Primary Sch,Sch,2,181,0,2,56,3,0,244,241
