Province,Local Authority,District,Constituency,Ward No.,POLLING STATIONS,FACILITY,"Dabengwa DumisoZAPU","Mugabe RobertGabriel ZANU(PF)","MukwazheMunodei KisinotiZDP","Ncube WelshmanMDC","TsvangirayiMorgan MDC-T","Total VotesRejected","Ballot PaperUnaccountedfor",Total Votes Cast,"Total Valid VotesCast"
Mash East,Manyame RDC,Seke,Seke,3,Musasa,Tent,1,77,1,2,113,3,0,197,194
Mash East,Manyame RDC,Seke,Seke,3,Mutoodzwa,Tent,0,59,2,3,52,0,0,116,116
Mash East,Manyame RDC,Seke,Seke,3,Seke Materera,Primary School,8,207,0,13,226,2,0,456,454
Mash East,Manyame RDC,Seke,Seke,3,Zhenje Mutangadura B/Centre,Tent,4,158,2,11,120,4,0,299,295
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Manyame RDC,Seke,Seke,4,Charakupa,Clinic,2,152,2,17,120,1,0,294,293
Mash East,Manyame RDC,Seke,Seke,4,Dzandura,Primary School,3,146,1,23,132,1,0,306,305
Mash East,Manyame RDC,Seke,Seke,4,Kandava,Primary School,1,115,6,7,144,5,0,278,273
Mash East,Manyame RDC,Seke,Seke,4,Mabhauwa B/Centre,Tent,1,139,0,13,186,7,0,346,339
Mash East,Manyame RDC,Seke,Seke,4,Machingauta Manyenga,Tent,0,83,0,7,73,2,0,165,163
Mash East,Manyame RDC,Seke,Seke,4,Makanyazingwa,Clinic,2,164,0,4,84,7,0,261,254
Mash East,Manyame RDC,Seke,Seke,4,Muregerera Chimugwemba,Tent,1,134,0,3,73,3,0,214,211
Mash East,Manyame RDC,Seke,Seke,4,Ngome,Primary School,1,136,1,9,141,4,0,292,288
Mash East,Manyame RDC,Seke,Seke,4,Sundai Makombe Village,Tent,1,192,0,7,104,5,0,309,304
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Manyame RDC,Seke,Seke,5,Ushewekunze,Primary School,0,219,1,6,122,2,0,350,348
Mash East,Manyame RDC,Seke,Seke,5,Zhakata,Clinic,1,179,2,2,86,15,0,285,270
Mash East,Manyame RDC,Seke,Seke,5,Zhangira B/Centre,Tent,1,111,1,6,115,8,0,242,234
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Manyame RDC,Seke,Seke,6,Chirimamhunga,Primary School,2,308,0,6,170,5,0,491,486
Mash East,Manyame RDC,Seke,Seke,6,Dizha B/Centre,Tent,3,137,1,7,114,7,0,269,262
Mash East,Manyame RDC,Seke,Seke,6,Dzumbunu,Primary School,4,99,0,2,89,2,0,196,194
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Manyame RDC,Seke,Seke,7,Chikonde,Secondary School,2,127,0,5,90,2,0,226,224
Mash East,Manyame RDC,Seke,Seke,7,Chitsvedemo,Primary School,1,202,2,19,226,9,0,459,450
Mash East,Manyame RDC,Seke,Seke,7,Gombe B/Centre,Tent,0,123,1,2,98,5,0,229,224
Mash East,Manyame RDC,Seke,Seke,7,Madamombe,Primary School,4,247,2,19,247,6,0,525,519
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Manyame RDC,Seke,Seke,8,Jonas,Secondary School,2,144,0,8,306,5,0,465,460
Mash East,Manyame RDC,Seke,Seke,8,Jonas,Primary School,2,355,2,13,311,10,0,693,683
Mash East,Manyame RDC,Seke,Seke,8,Kudyarawanza,Primary School,5,215,0,12,233,12,0,477,465
Mash East,Manyame RDC,Seke,Seke,8,Pamutiti,Tent,1,132,0,11,140,4,0,288,284
Mash East,Manyame RDC,Seke,Seke,8,Vera B/Centre,Tent,2,284,0,10,311,10,0,617,607
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Manyame RDC,Seke,Seke,9,Dunolly,Primary School,0,179,0,6,50,3,0,238,235
Mash East,Manyame RDC,Seke,Seke,9,Dunottar,Primary School,11,400,5,14,108,8,0,546,538
Mash East,Manyame RDC,Seke,Seke,9,Nhuku Farm,Shed,2,308,0,6,25,2,1,343,341
Mash East,Manyame RDC,Seke,Seke,9,Nyambiri,Primary School,2,341,1,1,39,6,0,390,384
Mash East,Manyame RDC,Seke,Seke,9,Shrewsbury,Primary School,4,269,1,2,32,2,0,310,308
Mash East,Manyame RDC,Seke,Seke,9,Simukai,Primary School,1,143,0,8,59,1,0,212,211
Mash East,Manyame RDC,Seke,Seke,9,Rosline Farm,Shed,1,197,0,1,24,1,0,224,223
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Manyame RDC,Seke,Seke,10,Adino,Primary School,1,211,1,10,218,7,0,448,441
Mash East,Manyame RDC,Seke,Seke,10,Bharabhara,Primary School,1,154,0,1,45,3,0,204,201
Mash East,Manyame RDC,Seke,Seke,10,Brechin,Primary School,3,175,2,3,41,6,0,230,224
Mash East,Manyame RDC,Seke,Seke,10,Caroline Wilderness Farm,Shed,1,33,0,0,6,1,0,41,40
Mash East,Manyame RDC,Seke,Seke,10,Gilston,Primary School,3,577,4,3,88,5,0,680,675
Mash East,Manyame RDC,Seke,Seke,10,Zengeya,Primary School,2,48,0,1,34,3,0,88,85
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Manyame RDC,Seke,Seke,11,Marirangwe,Hall,2,91,1,3,99,2,0,198,196
Mash East,Manyame RDC,Seke,Seke,11,Marirangwe South,Primary School,1,43,0,5,43,1,0,93,92
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Manyame RDC,Seke,Seke,12,Kerry,Primary School,5,357,2,4,51,5,0,424,419
Mash East,Manyame RDC,Seke,Seke,12,Lynn Farm,Shed,0,131,0,2,27,4,0,164,160
Mash East,Manyame RDC,Seke,Seke,12,Nyachidze,Primary School,5,185,0,5,50,13,0,258,245
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Manyame RDC,Seke,Seke,13,Beatrice Boarding,Primary School,1,90,0,2,65,1,0,159,158
Mash East,Manyame RDC,Seke,Seke,13,Beatrice Township,Primary School,1,328,1,4,127,4,0,465,461
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Manyame RDC,Seke,Seke,14,Glovina,Primary School,2,374,1,12,82,10,0,481,471
Mash East,Manyame RDC,Seke,Seke,14,Silver Oak Farm,Shed,1,185,1,2,23,1,0,213,212
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Manyame RDC,Seke,Seke,16,Manyotshwa,Primary School,1,122,1,3,48,1,0,176,175
Mash East,Manyame RDC,Seke,Seke,16,Muda,Primary School,2,210,2,8,51,1,0,274,273
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,1,Chatseka,Primary School,3,460,0,6,18,1,0,488,487
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,1,Chatseka Turn-Off,Tent,4,333,2,0,4,1,0,344,343
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,1,Dewe,Primary School,1,458,0,1,4,7,0,471,464
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,1,Masunzwa,Primary School,2,300,0,1,15,2,0,320,318
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,1,Nyanzou,Primary School,4,700,1,1,22,6,0,734,728
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,2,Gowe Business Centre,Tent,2,573,1,0,18,5,0,599,594
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,2,Kafura,Primary School,10,897,0,3,21,12,0,943,931
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,2,Kanzire,Primary School,2,371,0,1,10,3,0,387,384
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,2,Museka,Primary School,0,318,0,2,9,2,0,331,329
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,2,Mutata,Primary School,0,572,0,4,48,8,0,632,624
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,3,Jamari,Primary School,3,356,0,2,17,2,0,380,378
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,3,Japachapa,Pre School,0,212,1,0,4,1,0,218,217
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,3,Magudu,Primary School,2,387,1,1,12,2,0,405,403
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,3,Nyakarowa,Primary School,0,314,0,0,1,0,0,315,315
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,3,Nyakasoro,ReSt camp,2,246,0,0,9,2,0,259,257
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,3,Patsika,Primary School,7,876,0,1,15,3,0,902,899
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,4,Chipokoteke,Primary School,3,590,0,0,2,11,0,606,595
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,4,Chitorangavi,Pre School,2,746,3,0,9,13,0,773,760
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,4,Chitsingo,Primary School,3,626,1,0,11,3,0,644,641
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,4,Dindi Mission,Secondary School,13,1192,4,5,21,3,0,1238,1235
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,4,Mungari,Primary School,3,790,0,4,14,4,0,815,811
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,4,Mupata BC,Tent,8,610,0,1,7,7,0,633,626
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,5,Kaukonde,Primary School,5,406,0,0,2,1,0,414,413
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,5,Sowa,Primary School,2,776,1,2,13,11,0,805,794
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,5,Sowa Turn-Off,Tent,6,923,1,3,17,4,0,954,950
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,6,Chinhanga,Primary School,0,403,1,3,40,1,0,448,447
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,6,Maramba,Primary School,2,979,0,8,194,11,0,1194,1183
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,6,Saparanyambuya,Primary School,6,649,1,1,27,12,0,696,684
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,6,Shamba Dip Tank,Tent,0,578,1,0,8,3,0,590,587
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,7,Barahwe,Primary School,1,447,1,0,2,3,0,454,451
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,7,Chiwore,Primary School,1,388,0,0,0,0,0,389,389
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,7,Nyagande,Primary School,0,432,0,0,5,3,0,440,437
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,7,Nyaguwe Bridge,Tent,0,123,0,0,2,0,0,125,125
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,7,Shamva Turn Off,Tent,2,235,1,1,5,2,244,246,244
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,16,Borera,Primary School,9,713,3,8,17,18,0,768,750
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,16,Guyu,Primary School,4,785,0,1,10,9,0,809,800
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,16,Halgate,Tent,1,514,0,0,14,19,0,548,529
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,16,Kanjanda B/Centre,Tent,7,556,0,1,9,7,0,580,573
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,16,Kodogo BC,Tent,2,356,0,0,5,13,0,376,363
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,17,Bangari,Primary School,3,348,1,5,21,4,0,382,378
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,17,GaruraPre-School,Tent,1,192,0,0,1,0,0,194,194
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,17,Kutsokodeka,Primary School,2,372,0,0,3,2,0,379,377
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,17,Mangere Villge,Tent,0,278,1,0,4,3,0,286,283
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,17,Marize Turn Off,Tent,1,303,0,0,3,2,0,309,307
Mash East,Zvataida RDC,UMP,Maramba Pfungwe,17,Matoranhembe,Primary School,5,500,0,4,17,5,0,531,526
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Uzumba,8,Chimhodzi,Primary School,1,412,0,0,9,14,0,436,422
Mash East,Zvataida RDC,UMP,Uzumba,8,Chipfunde,Primary School,4,627,3,4,29,8,0,675,667
Mash East,Zvataida RDC,UMP,Uzumba,8,Gore Village,Tent,4,526,1,0,14,3,0,548,545
Mash East,Zvataida RDC,UMP,Uzumba,8,Marowe,Primary School,9,1116,4,7,59,16,0,1211,1195
Mash East,Zvataida RDC,UMP,Uzumba,8,Simbi B/Centre,Tent,1,682,0,0,12,8,0,703,695
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Uzumba,9,Chikuhwa,Primary School,0,383,0,1,11,5,0,400,395
Mash East,Zvataida RDC,UMP,Uzumba,9,Chiyamavhudzi B/Centre,Tent,6,875,1,2,34,13,0,931,918
Mash East,Zvataida RDC,UMP,Uzumba,9,Muromba Village,Tent,0,459,0,0,8,1,1,468,467
Mash East,Zvataida RDC,UMP,Uzumba,9,Mushambanaka,Primary School,7,582,1,6,71,18,0,685,667
Mash East,Zvataida RDC,UMP,Uzumba,9,Nyashonjwa,Primary School,2,475,0,1,13,0,0,491,491
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Uzumba,10,Chidodo,Primary School,5,566,0,2,7,4,0,584,580
Mash East,Zvataida RDC,UMP,Uzumba,10,Chidodo,Secondary School,6,614,1,0,10,5,0,636,631
Mash East,Zvataida RDC,UMP,Uzumba,10,Chimuka Pre-School,Tent,3,392,0,0,11,0,0,406,406
Mash East,Zvataida RDC,UMP,Uzumba,10,Manyika B/Centre,Tent,4,845,2,5,14,19,0,889,870
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Uzumba,11,Chure Business Centre,Tent,1,515,0,1,11,7,0,535,528
Mash East,Zvataida RDC,UMP,Uzumba,11,Gadaga,Primary School,3,512,0,0,7,0,0,522,522
Mash East,Zvataida RDC,UMP,Uzumba,11,Kachombo Business Centre,Tent,1,244,0,0,6,0,0,251,251
Mash East,Zvataida RDC,UMP,Uzumba,11,Matuku,Pre School,3,270,1,0,5,2,0,281,279
Mash East,Zvataida RDC,UMP,Uzumba,11,Nyaruchera Pre-School,Tent,3,673,1,2,14,2,0,695,693
Mash East,Zvataida RDC,UMP,Uzumba,11,Rudawiro,Secondary School,6,698,2,4,15,3,0,728,725
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Uzumba,12,Denje B/Centre,Tent,0,211,0,1,6,2,0,220,218
Mash East,Zvataida RDC,UMP,Uzumba,12,Mapaya,Primary School,0,243,1,9,20,4,0,277,273
Mash East,Zvataida RDC,UMP,Uzumba,12,Mugabe,Secondary School,2,469,0,4,34,8,0,517,509
Mash East,Zvataida RDC,UMP,Uzumba,12,Musanhi,Primary School,9,584,1,6,29,11,1,640,629
Mash East,Zvataida RDC,UMP,Uzumba,12,Nyamhara,Primary School,3,405,2,10,42,12,0,474,462
Mash East,Zvataida RDC,UMP,Uzumba,12,Tamutsa,Business Centre,4,364,0,4,19,4,0,395,391
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Uzumba,13,Chaitezvi,Tent,1,444,0,1,25,5,0,476,471
Mash East,Zvataida RDC,UMP,Uzumba,13,Kangara Mapfeka B/Centre,Tent,0,577,1,3,14,87,0,682,595
Mash East,Zvataida RDC,UMP,Uzumba,13,Katsande B/Centre,Tent,0,327,0,1,14,28,0,370,342
Mash East,Zvataida RDC,UMP,Uzumba,13,Manyika,Primary School,2,499,1,3,50,15,0,570,555
Mash East,Zvataida RDC,UMP,Uzumba,13,Matsenga,Primary School,4,489,0,2,7,8,0,510,502
Mash East,Zvataida RDC,UMP,Uzumba,13,Rukariro,Primary School,1,317,0,1,24,5,0,348,343
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Uzumba,14,Kaseke,Primary School,3,495,1,3,38,8,0,548,540
Mash East,Zvataida RDC,UMP,Uzumba,14,Magunje,Primary School,3,306,0,3,56,15,0,383,368
Mash East,Zvataida RDC,UMP,Uzumba,14,Mayema,Primary School,1,200,0,0,18,1,0,220,219
Mash East,Zvataida RDC,UMP,Uzumba,14,Morris,Secondary School,0,325,0,3,43,4,0,375,371
Mash East,Zvataida RDC,UMP,Uzumba,14,Mutize,Primary School,0,424,0,2,25,3,0,454,451
Mash East,Zvataida RDC,UMP,Uzumba,14,Nhakiwa,Hall,0,590,1,17,73,6,0,687,681
Mash East,Zvataida RDC,UMP,Uzumba,14,Zanga B/Centre,Tent,0,223,1,1,19,2,0,246,244
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Zvataida RDC,UMP,Uzumba,15,Chitimbe,Primary School,1,399,3,15,105,17,0,540,523
Mash East,Zvataida RDC,UMP,Uzumba,15,Ganda B/Centre,Tent,1,245,1,0,18,5,0,270,265
Mash East,Zvataida RDC,UMP,Uzumba,15,Gapara B/centreC,Business Centre,2,402,1,6,61,68,0,540,472
Mash East,Zvataida RDC,UMP,Uzumba,15,Machanzi,Tent,2,241,0,0,7,2,0,252,250
Mash East,Zvataida RDC,UMP,Uzumba,15,Marembera,Secondary School,2,222,0,2,26,3,0,255,252
Mash East,Zvataida RDC,UMP,Uzumba,15,Mutemaringa B/Centre,Tent,12,647,2,6,31,16,0,714,698
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Wedza RDC,Wedza,Wedza North,1,Chard - Guruuswa,Primary School,4,406,0,3,31,10,0,454,444
Mash East,Wedza RDC,Wedza,Wedza North,1,Chirume,Primary School,0,391,2,2,13,5,0,413,408
Mash East,Wedza RDC,Wedza,Wedza North,1,Dean - Munyakwe,Primary School,3,301,1,2,12,3,0,322,319
Mash East,Wedza RDC,Wedza,Wedza North,1,Fair Adventure,Primary School,1,379,0,0,15,5,0,400,395
Mash East,Wedza RDC,Wedza,Wedza North,1,Oklahoma Farm,Shed,2,320,1,1,8,3,0,335,332
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Wedza RDC,Wedza,Wedza North,2,Bolton Jenya,Secondary School,1,289,0,3,25,0,0,318,318
Mash East,Wedza RDC,Wedza,Wedza North,2,Chemanza,Primary School,3,292,1,9,64,7,0,376,369
Mash East,Wedza RDC,Wedza,Wedza North,2,Fels,Primary School,5,657,0,4,47,10,0,723,713
Mash East,Wedza RDC,Wedza,Wedza North,2,Nelson,Primary School,3,450,0,2,37,4,0,496,492
Mash East,Wedza RDC,Wedza,Wedza North,2,Nhumwa,Primary School,0,447,0,4,30,5,0,486,481
Mash East,Wedza RDC,Wedza,Wedza North,2,Scorror Farm,Tent,0,204,0,2,18,4,0,228,224
Mash East,Wedza RDC,Wedza,Wedza North,2,Wedza Country Club,Hall,1,390,1,3,24,4,0,423,419
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Wedza RDC,Wedza,Wedza North,3,Dendende Farm,Farm house,3,415,1,1,11,4,0,435,431
Mash East,Wedza RDC,Wedza,Wedza North,3,Mt Ruunze,Primary School,3,418,0,0,9,3,0,433,430
Mash East,Wedza RDC,Wedza,Wedza North,3,Mutupwizana,Primary School,3,398,0,5,39,3,0,448,445
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Wedza RDC,Wedza,Wedza North,4,Bita,Primary School,1,361,0,1,15,7,0,385,378
Mash East,Wedza RDC,Wedza,Wedza North,4,Magamba,Primary School,0,195,0,3,49,5,0,252,247
Mash East,Wedza RDC,Wedza,Wedza North,4,Skimpton Gotora,Primary School,5,331,1,4,53,10,0,404,394
Mash East,Wedza RDC,Wedza,Wedza North,4,Tongogara,Primary School,2,257,2,5,49,6,0,321,315
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Wedza RDC,Wedza,Wedza North,5,Maruta,Primary School,5,345,1,22,175,9,0,557,548
Mash East,Wedza RDC,Wedza,Wedza North,5,Matsine,Secondary School,1,305,3,10,95,3,0,417,414
Mash East,Wedza RDC,Wedza,Wedza North,5,Mukondwa,Secondary School,2,289,0,30,173,4,0,498,494
Mash East,Wedza RDC,Wedza,Wedza North,5,St Liobas,Primary School,5,309,1,8,61,5,0,389,384
Mash East,Wedza RDC,Wedza,Wedza North,5,St Peters Makwarimba,Secondary School,3,263,2,16,106,7,0,397,390
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Wedza RDC,Wedza,Wedza North,6,Chamatendere,Primary School,1,198,4,16,96,2,0,317,315
Mash East,Wedza RDC,Wedza,Wedza North,6,Chigwedere,Primary School,14,425,3,47,308,27,0,824,797
Mash East,Wedza RDC,Wedza,Wedza North,6,Gandamasungo,Primary School,2,136,0,6,30,0,0,174,174
Mash East,Wedza RDC,Wedza,Wedza North,6,Rambanapasi,Primary School,18,527,5,45,184,33,0,812,779
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Marondera RDC,Marondera,Wedza North,5,Karembwe,Primary School,2,413,1,1,30,5,0,452,447
Mash East,Marondera RDC,Marondera,Wedza North,5,Karimba,Primary School,0,157,1,1,36,0,0,195,195
Mash East,Marondera RDC,Marondera,Wedza North,5,Lustleigh,Primary School,1,439,1,5,27,5,0,478,473
Mash East,Marondera RDC,Marondera,Wedza North,5,Southlawn,Primary School,1,218,0,1,10,2,0,232,230
Mash East,Marondera RDC,Marondera,Wedza North,5,Waltondale,Primary School,4,362,1,9,92,17,0,485,468
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Marondera RDC,Marondera,Wedza North,8,Batanai,Primary School,1,404,0,1,21,5,0,432,427
Mash East,Marondera RDC,Marondera,Wedza North,8,Chitubu,Primary School,1,342,0,1,10,2,0,356,354
Mash East,Marondera RDC,Marondera,Wedza North,8,Chop Chop B/Centre,Tent,1,301,0,3,11,2,0,318,316
Mash East,Marondera RDC,Marondera,Wedza North,8,Mt Authur,Primary School,1,204,0,1,6,1,0,213,212
Mash East,Marondera RDC,Marondera,Wedza North,8,Maringari,Primary School,2,322,1,1,10,6,0,342,336
Mash East,Marondera RDC,Marondera,Wedza North,8,Rujeko,Sec School,2,187,1,0,5,0,0,195,195
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Wedza RDC,Wedza,Wedza North,15,Wedza 1,Secondary School,0,383,0,5,195,15,0,598,583
Mash East,Wedza RDC,Wedza,Wedza North,15,Wedza 2,Secondary School,1,326,0,9,151,2,0,489,487
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Wedza RDC,Wedza,Wedza South,7,Dendenyore,Hall,3,467,1,15,185,18,0,689,671
Mash East,Wedza RDC,Wedza,Wedza South,7,Gumbonzvanda,Primary School,6,306,0,4,77,3,0,396,393
Mash East,Wedza RDC,Wedza,Wedza South,7,Mt St Marys,Primary School,2,291,3,11,218,5,0,530,525
Mash East,Wedza RDC,Wedza,Wedza South,7,St Joseph Munzverengi,Primary School,2,228,1,21,119,4,0,375,371
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Wedza RDC,Wedza,Wedza South,8,St Annes Goto,Primary School,5,658,6,33,187,15,0,904,889
Mash East,Wedza RDC,Wedza,Wedza South,8,St Johns Matsvai,Primary School,6,347,3,6,90,6,0,458,452
Mash East,Wedza RDC,Wedza,Wedza South,8,St Pauls Sango,Primary School,1,276,1,19,103,9,0,409,400
Mash East,Wedza RDC,Wedza,Wedza South,8,St Thomas Aquina,Primary School,5,246,1,3,113,3,0,371,368
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Wedza RDC,Wedza,Wedza South,9,Maguni,Primary School,3,341,0,17,119,16,0,496,480
Mash East,Wedza RDC,Wedza,Wedza South,9,Mutukwana,Primary School,3,407,0,6,41,1,0,458,457
Mash East,Wedza RDC,Wedza,Wedza South,9,St Augustine Chitida,Secondary School,3,151,0,2,68,6,0,230,224
Mash East,Wedza RDC,Wedza,Wedza South,9,St Clements,Primary School,4,173,0,10,69,2,0,258,256
Mash East,Wedza RDC,Wedza,Wedza South,9,St Joseph's Madhanha,Primary School,4,145,0,6,45,6,0,206,200
Mash East,Wedza RDC,Wedza,Wedza South,9,St Margaret's Chigodora,Primary School,8,433,0,9,120,6,0,576,570
Mash East,Wedza RDC,Wedza,Wedza South,9,St Peters Gangare,Secondary School,3,297,2,4,60,4,0,370,366
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Wedza RDC,Wedza,Wedza South,10,St Barnabas Ushe,Primary School,2,348,0,13,105,3,0,471,468
Mash East,Wedza RDC,Wedza,Wedza South,10,St James Nyamupara,Primary School,1,157,0,2,44,4,0,208,204
Mash East,Wedza RDC,Wedza,Wedza South,10,St Stephens Makuru,Primary School,8,283,0,13,62,3,0,369,366
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Wedza RDC,Wedza,Wedza South,11,Holy Spirit Ruzane,Primary School,6,334,1,18,128,7,0,494,487
Mash East,Wedza RDC,Wedza,Wedza South,11,St Johns Maninga,Primary School,2,166,1,4,53,4,0,230,226
Mash East,Wedza RDC,Wedza,Wedza South,11,St Mathias Ruswa,Primary School,3,271,1,12,79,6,0,372,366
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Wedza RDC,Wedza,Wedza South,12,St Marks Gonesu,Primary School,6,347,3,19,136,2,0,513,511
Mash East,Wedza RDC,Wedza,Wedza South,12,St Marys Makanda,Primary School,5,304,0,9,108,4,0,430,426
Mash East,Wedza RDC,Wedza,Wedza South,12,Tarungowa,Primary School,2,206,1,10,88,5,0,312,307
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Wedza RDC,Wedza,Wedza South,13,Makarara Council,Hall,1,118,1,4,60,3,0,187,184
Mash East,Wedza RDC,Wedza,Wedza South,13,Musavadye,Primary School,0,50,0,2,54,1,0,107,106
Mash East,Wedza RDC,Wedza,Wedza South,13,St Antony Zhidhuri,Primary School,0,51,0,5,33,0,0,89,89
Mash East,Wedza RDC,Wedza,Wedza South,13,St Chad Mapumbu,Primary School,1,98,1,1,28,0,0,129,129
Mash East,Wedza RDC,Wedza,Wedza South,13,St Roberts Dzvova,Primary School,1,130,0,4,74,5,0,214,209
Mash East,Wedza RDC,Wedza,Wedza South,13,Zviyambe,Primary School,3,107,0,10,78,1,0,199,198
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Wedza RDC,Wedza,Wedza South,14,Chikurumadziwa,Primary School,1,280,2,6,44,0,0,333,333
