Province,Local Authority,District,Constituency,Ward No.,POLLING STATIONS,FACILITY,"Dabengwa DumisoZAPU","Mugabe RobertGabriel ZANU(PF)","MukwazheMunodei KisinotiZDP","Ncube WelshmanMDC","TsvangirayiMorgan MDC-T","Total VotesRejected","Ballot PaperUnaccountedfor",Total Votes Cast,"Total Valid VotesCast"
Mash East,Mutoko RDC,Mutoko,Mutoko South,25,Tabudirira,Primary School,1,218,0,0,7,3,0,229,226
Mash East,Mutoko RDC,Mutoko,Mutoko South,25,Tabudirira,Secondary School,0,128,0,0,17,6,0,151,145
Mash East,Mutoko RDC,Mutoko,Mutoko South,25,Zvidozvevanhu,Primary School,1,684,0,4,12,15,0,716,701
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Mutoko RDC,Mutoko,Mutoko South,26,Corner Store B/Centre,Shop,0,598,1,3,41,5,1,648,643
Mash East,Mutoko RDC,Mutoko,Mutoko South,26,Kushinga,Primary School,2,269,1,4,51,3,0,330,327
Mash East,Mutoko RDC,Mutoko,Mutoko South,26,Masvitse,Primary School,2,206,2,4,41,4,0,259,255
Mash East,Mutoko RDC,Mutoko,Mutoko South,26,Mukombwe,Primary School,0,282,0,1,25,3,0,311,308
Mash East,Mutoko RDC,Mutoko,Mutoko South,26,Nyamudeza B/Centre,Tent,2,374,0,4,21,3,0,404,401
Mash East,Mutoko RDC,Mutoko,Mutoko South,26,Village 20,Tent,3,363,0,3,36,7,0,412,405
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Mutoko RDC,Mutoko,Mutoko South,27,Chidara,Primary School,4,697,0,2,14,22,0,739,717
Mash East,Mutoko RDC,Mutoko,Mutoko South,27,Chidowe,Primary School,2,199,0,1,6,5,0,213,208
Mash East,Mutoko RDC,Mutoko,Mutoko South,27,Hari B/Centre,Shop,0,222,0,0,4,2,0,228,226
Mash East,Mutoko RDC,Mutoko,Mutoko South,27,Mazarura Farm,Hall,1,343,0,1,11,2,0,358,356
Mash East,Mutoko RDC,Mutoko,Mutoko South,27,Ndiwani,Secondary School,0,241,0,2,20,0,0,263,263
Mash East,Mutoko RDC,Mutoko,Mutoko South,27,Nyagore,Primary School,3,459,2,0,8,8,0,480,472
Mash East,Mutoko RDC,Mutoko,Mutoko South,27,Nyamakosi Farm,Tent,0,530,0,4,3,18,0,555,537
Mash East,Mutoko RDC,Mutoko,Mutoko South,27,Parerenyatwa,Primary School,2,493,0,2,35,16,0,548,532
Mash East,Mutoko RDC,Mutoko,Mutoko South,27,Rukanda,Primary School,1,240,0,3,8,3,0,255,252
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Mutoko RDC,Mutoko,Mutoko South,28,Chikara,Primary School,2,494,0,1,7,2,0,506,504
Mash East,Mutoko RDC,Mutoko,Mutoko South,28,Chinyika,Primary School,3,609,0,0,17,10,0,639,629
Mash East,Mutoko RDC,Mutoko,Mutoko South,28,Nyadzonya,Primary School,1,394,0,2,18,2,0,417,415
Mash East,Mutoko RDC,Mutoko,Mutoko South,28,Nyamuzizi,Primary School,4,697,0,5,39,5,0,750,745
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Mutoko RDC,Mutoko,Mutoko South,29,Dombodzvipa,Secondary School,1,375,1,1,12,7,0,397,390
Mash East,Mutoko RDC,Mutoko,Mutoko South,29,Kwaedza,Primary School,2,290,0,1,7,2,0,302,300
Mash East,Mutoko RDC,Mutoko,Mutoko South,29,Lucky Dip,Shed,1,272,0,1,6,8,0,288,280
Mash East,Mutoko RDC,Mutoko,Mutoko South,29,Nharire,Primary School,2,456,0,0,16,9,0,483,474
Mash East,Mutoko RDC,Mutoko,Mutoko South,29,Nyarushipe,Primary School,7,481,0,1,17,2,0,508,506
Mash East,Mutoko RDC,Mutoko,Mutoko South,29,Nzira,Primary School,2,528,0,1,32,5,0,568,563
Mash East,Mutoko RDC,Mutoko,Mutoko South,29,Ruvimbo,Primary School,1,367,0,0,11,6,0,385,379
Mash East,Mutoko RDC,Mutoko,Mutoko South,29,Tongogara,Primary School,1,231,0,1,9,1,0,243,242
Mash East,Mutoko RDC,Mutoko,Mutoko South,29,Urumutumbu,Primary School,0,416,0,0,6,3,0,425,422
Mash East,Mutoko RDC,Mutoko,Mutoko South,29,Ushamba,Primary School,2,333,0,1,11,7,0,354,347
Mash East,Mutoko RDC,Mutoko,Mutoko South,29,V90,Shop,1,315,0,0,1,0,0,317,317
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Manyame RDC,Seke,Seke,1,Besa,Primary School,3,369,1,22,339,8,0,742,734
Mash East,Manyame RDC,Seke,Seke,1,Guzha B/Centre,Tent,1,252,0,9,252,6,0,520,514
Mash East,Manyame RDC,Seke,Seke,1,Pamusasa,Tent,4,203,0,16,244,3,0,470,467
Mash East,Manyame RDC,Seke,Seke,1,Rusirevi,Church,3,448,2,22,499,12,4,986,974
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Manyame RDC,Seke,Seke,2,Kunaka Clinic,Hall,10,449,1,12,364,18,0,854,836
Mash East,Manyame RDC,Seke,Seke,2,Mandedza,Secondary School,3,226,0,10,129,10,0,378,368
Mash East,Manyame RDC,Seke,Seke,2,Mhindura Mushangwe Village,Tent,6,268,1,21,212,11,0,519,508
Mash East,Manyame RDC,Seke,Seke,2,Murape,Primary School,1,98,1,8,155,4,0,267,263
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Manyame RDC,Seke,Seke,3,Marikopo,Primary School,2,364,2,11,192,7,0,578,571
