Province,DISTRICT,LOCAL AUTHORITY,CONSTITUENCY,WARD NO.,POLLING STATIONS,FACILITY,"DabengwaDumiso (ZAPU)","Mugabe Robert Gabriel(ZANU PF)","MukwazheMunnodeiKissnote (ZDP)","Ncube Welshman(MDC)","Tsvangirayi Morgan(MDC-T)","Total VotesRejected","Ballot PapersUnaccounted for",Total Votes Cast,"Total Valid VotesCast"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,13,ArdasisiI Primary,School,0,133,0,0,9,1,0,143,142
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,13,Berhills  Settlement,Shed,1,51,0,0,10,1,0,63,62
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,13,Chininga Primary,School,2,459,0,1,3,7,0,472,465
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,13,Chinomwe Primary,School,2,185,0,0,7,2,0,196,194
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,13,Conrise  Settlemeny,Shed,3,352,0,3,9,0,0,367,367
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,13,Mafuta  Settlement,Shed,3,423,0,0,1,3,0,430,427
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,13,Manga Settlement,Shed,1,237,0,1,4,2,0,245,243
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,13,Minehaha  Settlement,Shed,5,385,0,1,22,9,0,422,413
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,13,PAMWECHETE Primary,School,0,562,0,5,25,7,0,599,592
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,13,Royal Bucks Primary,School,3,474,0,0,10,3,0,490,487
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,13,S.S Range  Settlement,Shed,0,19,0,1,1,0,0,21,21
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,13,Zilawa  Settlement,Shed,1,147,2,1,10,0,0,161,161
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,14,Dalston Primary,School,0,249,1,2,39,5,0,296,291
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,14,Great Gain Primary,School,1,240,0,0,3,0,0,244,244
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,14,INKARI  Resettlement,Shed,0,343,0,1,12,3,0,359,356
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,14,Inyathi (Chepstow) Primary,School,0,425,0,0,26,7,0,458,451
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,14,Kelsto Park  Settlement,Shed,1,245,1,0,1,1,0,249,248
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,14,Mwala Oyela  Settlement,Shed,0,90,2,0,16,2,0,110,108
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,14,Rarie Estate  Settlement,Shed,3,215,1,0,17,6,0,242,236
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,15,Chrome HQ Primary,School,4,360,2,11,361,9,0,747,738
