Province,DISTRICT,LOCAL AUTHORITY,CONSTITUENCY,WARD NO.,POLLING STATIONS,FACILITY,"DabengwaDumiso (ZAPU)","Mugabe Robert Gabriel(ZANU PF)","MukwazheMunnodeiKissnote (ZDP)","Ncube Welshman(MDC)","Tsvangirayi Morgan(MDC-T)","Total VotesRejected","Ballot PapersUnaccounted for",Total Votes Cast,"Total Valid VotesCast"
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,18,Bessville Grange  Settle4ment,Shed,1,121,0,1,31,6,0,160,154
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,18,Crocodile  Pool Primary,School,1,242,2,2,42,5,0,294,289
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,18,Dalkeith/Chidziva  Primary,School,0,302,1,1,36,5,0,345,340
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,18,Gwina  Settlement,Shed,0,44,0,0,15,4,0,63,59
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,18,MUNENI  Settlement,Shed,1,168,0,0,10,3,0,182,179
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,18,Riverside  Settlement,Shed,4,236,1,0,17,6,0,264,258
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,30,Baron Gomo Primary,School,0,83,0,0,8,2,0,93,91
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,30,Holderness Settlement,Shed,6,390,0,0,15,7,0,418,411
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,30,Katawa Primary,School,1,270,0,0,12,3,0,286,283
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,30,Mvou Primary,School,5,260,1,2,14,8,0,290,282
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,30,Nchefu  SettlementT,Shed,0,254,0,0,18,8,0,280,272
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,30,Ndudza Primary,School,0,168,1,1,10,8,0,188,180
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,30,Perth Primary,School,2,601,1,1,16,8,0,629,621
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,31,Buwi Primary,School,1,215,0,2,4,1,0,223,222
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,31,Chambadzi,Shed,1,120,0,0,15,2,0,138,136
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,31,Junction,Shed,0,315,1,5,11,0,0,332,332
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,31,MayfortT/Chikeya Settlement,Shed,5,535,1,4,23,7,0,575,568
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,31,Montergomery  Settlement,Shed,3,308,0,1,5,2,0,319,317
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,31,Riverside Farm Primary,School,3,284,1,2,10,2,0,302,300
Mash West,Zvimba,Zvimba Rural District Council,Zvimba North,31,Ttswitsi Resettlement,Shed,0,288,0,1,12,2,0,303,301
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,3,Chikaka Primary,School,2,173,0,1,20,1,0,197,196
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,3,Chomutamba Primary,School,1,317,1,1,30,3,0,353,350
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,3,Karigamombe,Pre-School,0,112,0,1,6,1,0,120,119
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,3,Madzima Primary,School,0,315,1,3,51,5,0,375,370
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,3,Masiyarw Day Primary,School,4,352,0,1,37,3,0,397,394
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,3,MupumbuPrimary,School,5,519,1,12,59,10,0,606,596
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,6,Chikambi Primary,School,4,265,0,1,17,7,0,294,287
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,6,Gomera Business Centre,Tent,0,174,0,2,24,6,0,206,200
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,6,Kutama Day Primary,School,3,367,0,1,40,9,0,420,411
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,6,Kutama Day Seconadary,School,0,362,0,0,53,4,0,419,415
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,6,Mapfumo Village,Tent,1,325,1,1,28,1,0,357,356
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,6,Rothwell Extension,Tent,2,265,0,4,14,4,0,289,285
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,19,Hunyani Piti,Tent,2,112,0,5,22,1,0,142,141
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,19,Mvebi,Shed,0,126,0,0,6,3,0,135,132
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,19,Nidd Valley Primary school,School,9,373,0,8,60,10,0,460,450
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,19,Stratford Primary,School,1,338,0,1,25,4,0,369,365
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,19,Trelawney Tobacaco Training Centre,Public Office,0,231,1,0,25,4,0,261,257
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,19,Urundi Primary,School,2,327,1,6,33,4,0,373,369
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,19,Woodrow  Primary,School,2,244,0,2,30,7,0,285,278
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,21,Bonnievale Resettlement,Shed,3,235,0,6,29,6,0,279,273
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,21,Hendra/Mutungati Resettlement,Shed,0,189,0,2,16,3,0,210,207
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,21,Kasawe Primary,School,0,246,0,2,36,2,0,286,284
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,21,Kutama Farm Primary,School,3,252,1,2,41,3,0,302,299
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,21,Lazenby Primary,School,2,185,1,0,32,2,0,222,220
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,21,Maringove Afreta Primary,School,2,675,3,11,179,24,0,894,870
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,21,Maryland  Resettlement,Shed,2,499,0,2,62,9,0,574,565
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,21,Mkonono  Resettlement,Shed,0,97,0,1,22,1,0,121,120
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,21,Nicortina Estate,Tent,3,189,0,2,34,1,0,229,228
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,21,Shirlegh  Resettlement,Farm,0,216,1,3,37,1,0,258,257
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,21,Zalonyika Resettlement,Shed,0,166,2,3,18,2,0,191,189
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,21,Zipam,Shed,0,278,0,1,112,4,0,395,391
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,22,Kuwadzana  Primary B,School,0,170,1,5,138,3,0,317,314
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,22,Kuwadzana Primary A,School,1,261,1,6,206,6,0,481,475
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,22,Kuwadzana Primary C,School,2,141,3,5,122,3,0,276,273
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,22,ZRDC Wilmar Park,Public Office,1,128,1,5,167,2,0,304,302
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,23,Kuwadzana Community,Hall,2,536,1,13,446,25,0,1023,998
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,32,Bachi Primary,School,0,199,0,0,31,3,0,233,230
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,32,Lion Kop Resettlement,Shed,1,347,0,0,19,5,0,372,367
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,32,MIMOSA RESETTLEMENT,Shed,2,140,0,1,18,2,0,163,161
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,32,Northwood Resettlement,Farm,1,127,0,0,17,7,0,152,145
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,32,Sutton Mine PPrimary,School,1,239,1,3,125,12,0,381,369
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,32,Tramore Primary,School,2,306,0,2,32,1,0,343,342
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,33,Annandale Primary,School,2,256,0,0,13,13,0,284,271
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,33,Clydesdale Primary,School,0,50,0,2,6,0,0,58,58
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,33,Glen Athol Resettlement,Farm,1,244,0,0,14,3,0,262,259
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,33,Glen Esk Resettlenet,Farm,2,309,0,0,11,60,0,382,322
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,33,Oxford Primary,School,0,227,2,5,21,2,0,257,255
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,33,Strathdon Secondary,School,1,415,1,1,34,10,0,462,452
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,34,Chiyedza Zimcor  Primary,School,1,60,3,5,80,5,0,154,149
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,34,Greycourt,Farm,4,269,1,11,54,13,0,352,339
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,34,Gwangwadza Primary,School,0,94,0,1,14,3,0,112,109
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,34,Haydock Park Estate Primary,School,1,78,0,2,25,1,0,107,106
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,34,St.  Johns Primary,School,3,165,0,1,18,7,0,194,187
Mash West,Zvimba,Zvimba Rural District Council,Zvimba South,34,Trelawney  Primary,School,3,380,3,9,88,9,0,492,483
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,1,GaroyiI Primary,School,1,288,1,11,84,8,0,393,385
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,1,Kazangarare Business Centre,Tent,0,228,1,13,51,5,0,298,293
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,1,Mutongerwa Village,Tent,5,475,1,3,53,1,0,538,537
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,1,Nyamangara Primary,School,9,397,1,9,107,14,0,537,523
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,2,Murombedzi Primary A,School,0,114,0,0,30,7,10,151,144
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,2,Murombedzi Primary B,School,0,69,1,0,45,2,0,117,115
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,2,Murombedzi Primary C,School,0,48,0,1,16,1,0,66,65
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,2,Murombedzi Vocational A,Shed,0,109,0,0,19,0,0,128,128
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,2,Murombedzi Vocational B,Shed,0,225,0,0,47,2,0,274,272
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,2,Murombedzi Vocational C,Shed,0,50,0,0,18,4,0,72,68
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,4,Katsvamutima Primary,School,1,199,1,3,33,2,0,239,237
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,4,Mariga Primary,School,6,438,0,9,65,16,0,534,518
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,4,Mashonganyika Primary,School,1,199,1,3,33,2,0,239,237
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,4,Matanhire Business Centre,Tent,1,130,1,0,15,1,0,148,147
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,5,Chimatira Village Dip Tank,Tent,2,287,2,10,47,6,0,354,348
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,5,Mabvure Primary,School,5,777,3,9,86,6,0,886,880
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,7,Dzikamidzi Primary,School,1,340,1,0,18,4,0,364,360
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,7,Kasanze  Primary,School,5,542,0,5,50,8,0,610,602
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,7,Marahwa Village,Tent,0,228,0,2,12,0,0,242,242
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,7,Mucheri  Primary,School,0,93,0,2,22,1,0,118,117
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,7,Nyanhi Village,Tent,2,249,0,3,20,5,0,279,274
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,8,Chidarikire Village,Tent,0,170,2,6,52,5,0,235,230
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,8,Kasipiti Business Centre,Tent,4,152,2,3,33,5,0,199,194
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,8,Mboma Business Centre,Tent,3,202,2,6,55,2,0,270,268
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,8,Mururi Primary,School,0,161,2,4,27,4,0,198,194
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,8,ShumbayaondaBusiness Centre,Tent,4,105,2,6,42,1,0,160,159
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,8,St. BarnabasPrimary,School,4,181,1,2,50,3,0,241,238
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,9,Chirau Community Hall,Hall,1,323,2,11,83,4,0,424,420
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,9,Kawondera Primary,School,3,458,0,10,91,7,0,569,562
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,9,Mhandu Primary,School,1,203,1,5,31,3,0,244,241
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,10,Jokwani,Shed,1,326,2,1,55,4,0,389,385
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,10,Murindagomo Village,Tent,3,213,4,16,73,9,0,318,309
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,10,Musonza,Tent,4,148,1,11,64,3,,231,228
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,11,Chinyabowa Primary,School,1,181,0,4,44,5,0,235,230
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,11,Goedema  Primary,School,0,305,2,7,35,2,0,351,349
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,11,MandevhaniI   Primary,School,3,410,4,12,78,5,0,512,507
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,12,Chigoho Business Centre,Tent,3,192,2,2,29,4,0,232,228
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,12,Chivhere,Shed,2,205,2,4,36,0,0,249,249
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,12,Kanyemba Chivhere Secondary,School,1,122,1,1,20,5,0,150,145
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,12,Kanyembay,School,0,152,1,1,35,4,0,193,189
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,12,Mareverwa Primary,School,2,147,0,1,11,6,0,167,161
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,12,Taffira Primary,School,1,161,0,9,74,3,0,248,245
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,27,Baramasimbe Primary,School,1,158,0,3,48,1,0,211,210
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,27,Dzingwe Primary,School,0,80,0,1,31,0,0,112,112
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,27,Gukuta Business Centre,Tent,1,96,0,3,36,2,0,138,136
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,27,Marevanani Primary,School,4,315,0,3,64,6,0,392,386
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,27,Shambavarungu Primary,School,2,80,0,0,5,0,0,87,87
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,28,Matoranhembe Primary,School,1,372,1,5,53,0,0,432,432
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,28,Matsvitsi Primary,School,3,205,2,9,38,12,0,269,257
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,29,Chifamba Business Centre,Tent,2,462,0,4,44,5,0,517,512
Mash West,Zvimba,Zvimba Rural District Council,Zvimba West,29,Madzorera Primary,School,4,616,1,12,91,10,0,734,724
