SER,PROVINCE,CONSTITUENCY,WINNING CANDIDATE,SEX,PARTY
179,Matabeleland South,Mangwe,Mguni Obedingwa,M,ZANU PF
180,Matabeleland South,Matobo North,Moyo Edgar,M,ZANU PF
181,Matabeleland South,Matobo South,Ncube Soul,M,ZANU PF
182,Matabeleland South,Umzingwane,Mayihlome Levi,M,ZANU PF
183,Midlands,Chirumanzu,Rwodzi Barbara,F,ZANU PF
184,Midlands,Chirumanzu/Zibagwe,Machando Prosper,M,ZANU PF
185,Midlands,Chiwundura,Chimina Livingstone,M,MDC- Alliance
186,Midlands,Gokwe Central,Matemadanda Victor,M,ZANU PF
187,Midlands,Gokwe-Chireya,Moyo Tonderayi,M,ZANU PF
188,Midlands,Gokwe-Gumunyu,Ngwenya Stephen,M,ZANU PF
189,Midlands,Gokwe-Kabuyuni,Chikomba Leonard,M,ZANU PF
190,Midlands,Gokwe Kana,Ncube Owen,M,ZANU PF
191,Midlands,Gokwe Mapfungautsi,Karikoga Tawanda,M,ZANU PF
192,Midlands,Gokwe-Nembudziya,Wadyajena Justice Mayor,M,ZANU PF
193,Midlands,Gokwe Sengwa,Mavima Paul,M,ZANU PF
194,Midlands,Gokwe Sesame,Chanda Gorden,M,ZANU PF
195,Midlands,Gweru Urban,Dube Brian,M,MDC- Alliance
196,Midlands,Kwekwe Central,Matambanadzo Masango,M,NPF
197,Midlands,Mberengwa East,Raidza Marko,M,ZANU PF
198,Midlands,Mberengwa North,Zhou Tafanana,M,ZANU PF
200,Midlands,Mberengwa West,Gumbo Joram Macdonald,M,ZANU PF
201,Midlands,Mbizo,Chikwinya Settlement,M,MDC- Alliance
202,Midlands,Mkoba,Chibaya Amos,M,MDC- Alliance
203,Midlands,Redcliff,Mukapiko Dzikamai Lloyd,M,MDC- Alliance
204,Midlands,Shurugwi North,Nyathi Ronald Robson,M,ZANU PF
205,Midlands,Shurugwi South,Mkaratigwa Edmond,M,ZANU PF
206,Midlands,Silobela,Mpofu Mtokozisi Manoki,M,ZANU PF
207,Midlands,Vungu,Sibanda Omega,M,ZANU PF
208,Midlands,Zhombe,Samambwa Edmore,M,ZANU PF
