"",,,Votes
Name of Candidate,Sex,Party,Received
IDUCHE MERCY,,F,,,NCA,,172,
"",,,,,,,,
"",,,Votes
Name of Candidate,Sex,Party,Received
"",,,
CHINGOSHO,M,ZANU PF,13 798
CHRISTOPHER PETER,,,
"",,,
"",,,
CHIRIPAMBERI TAURAI,M,INDEPENDENT,1536
WILLIAM,,,
"",,,
"",,,
CHIRO CLIFORD,M,BZA,168
"",,,
"",,,
CHITAURO KINGSTON,M,MDC-T,2 190
"",,,
"",,,
CHIUNYA VENGAI,,,
GODFREY,M,"# 1980 CHINHU CHEDU",63
"",,,
"",,,
GONESO CANAAN,M,ZIPP,79
"",,,
"",,,
JINDU PHILLIP,M,INDEPENDENT,299
"",,,
"",,,
JULIUS LASTONE,M,CODE,94
"",,,
"",,,
KAUNYE JAMES,M,PRC,165
"",,,
"",M,MDC-ALLIANCE,
MUKARATIRWA ALBERT,,,4 880
"",,,
"",,,
"",,NCA,28
MUTOWA CHRISWELL,M,,
"",,,
"",,,
SIBANDA LAWRENCE,M,INDEPENDENT,63
"",,,
"",,,
TANDI KEDDY CLIFF,M,MAAT ZIMBABWE,69
"",,,Votes
Name of Candidate,Sex,Party,Received
"",,,
Tekeshe David,M,MDC-ALLIANCE,12 531
"",,,
"",,,
Chinamasa Patrick Anthony,M,ZANU PF,9 256
"",,,
"",,,
Chasara Nesbert Pfunya,M,UDA,304
"",,,
"",,,
Matope Juliet,F,NCA,191
"",,,
"",M,,
Mukaka Shepherd,,"# 1980 CHINHU",59
"",,CHEDU,
"",,,Votes
Name of Candidate,Sex,Party,Received
"",,,
Chigume Paul,M,Independent,435
"",,,
Chiro Joseph,M,BZA,186
"",,,
Kwangwa Virginia,F,NCA,94
"",,,
Mabvepi Muwanga,M,CODE,224
"",,,
Manyengawana Moses,M,MDC-Alliance,4941
"",,,
Munetsi James,M,ZANU PF,12 189
"",,,
Mupfapairi Brighton,M,Independent,468
"",,,
Nyawaranda Clever,M,ZIPP,77
Name of Candidate,Sex,Party,Votes Received
"",M,,
Chiwukira Munodaani,,PPPZ,
Gilbert,,,365
"",M,,
Kutiya John,,MDC-ALLIANCE,9 037
"",,,
Mataranyika Dudzai,M,ZANU PF,
Misheck,,,11 622
"",M,,
Mukunda David,,NCA,81
"",M,FREEZIM,
Mupimbira Misheck,,CONGRESS PARTY,108
"",,,
Murerawanhu Obert,M,ZIPP,130
"",,,
"",,,
Mvundura Itayi,M,PRC,131
Washington,,,
"",M,,
Samunumba Anderson,,"# 1980 Chinhu Chedu",67
"",,,Votes
Name of Candidate,Sex,Party,Received
